Tournament,Stage,Match Type,Match Name,Map,Team,Elimination,Detonated,Defused,Time Expiry (No Plant),Eliminated,Defused Failed,Detonation Denied,Time Expiry (Failed to Plant)
VCT 2026: Americas Stage 1,Group Stage,Week 5,FURIA vs 100 Thieves,Pearl,100 Thieves,7,1,1,0,11,2,0,0
VCT 2026: Americas Stage 1,Group Stage,Week 5,FURIA vs 100 Thieves,Haven,FURIA,6,1,1,0,10,1,2,0
VCT 2026: Americas Stage 1,Group Stage,Week 5,FURIA vs 100 Thieves,Haven,100 Thieves,10,1,2,0,6,1,1,0
VCT 2026: Americas Stage 1,Group Stage,Week 5,FURIA vs 100 Thieves,Breeze,FURIA,4,0,2,0,11,0,1,1
VCT 2026: Americas Stage 1,Group Stage,Week 5,FURIA vs 100 Thieves,Breeze,100 Thieves,11,0,1,1,4,0,2,0
VCT 2026: Americas Stage 1,Group Stage,Week 5,G2 Esports vs Cloud9,Lotus,G2 Esports,8,1,4,0,5,0,1,0
VCT 2026: Americas Stage 1,Group Stage,Week 5,G2 Esports vs Cloud9,Lotus,Cloud9,5,0,1,0,8,1,4,0
VCT 2026: Americas Stage 1,Group Stage,Week 5,G2 Esports vs Cloud9,Split,G2 Esports,9,1,1,2,4,1,4,0
VCT 2026: Americas Stage 1,Group Stage,Week 5,G2 Esports vs Cloud9,Split,Cloud9,4,1,4,0,9,1,1,2
VCT 2026: Americas Stage 1,Group Stage,Week 5,ENVY vs MIBR,Haven,ENVY,10,2,1,0,1,0,0,0
VCT 2026: Americas Stage 1,Group Stage,Week 5,ENVY vs MIBR,Haven,MIBR,1,0,0,0,10,2,1,0
VCT 2026: Americas Stage 1,Group Stage,Week 5,ENVY vs MIBR,Bind,ENVY,8,0,5,0,3,0,0,0
VCT 2026: Americas Stage 1,Group Stage,Week 5,ENVY vs MIBR,Bind,MIBR,3,0,0,0,8,0,5,0
VCT 2026: Americas Stage 1,Group Stage,Week 5,LOUD vs LEVIATÁN,Bind,LOUD,2,1,0,0,10,0,3,0
VCT 2026: Americas Stage 1,Group Stage,Week 5,LOUD vs LEVIATÁN,Bind,LEVIATÁN,10,0,3,0,2,1,0,0
VCT 2026: Americas Stage 1,Group Stage,Week 5,LOUD vs LEVIATÁN,Breeze,LOUD,9,1,3,1,9,0,3,0
VCT 2026: Americas Stage 1,Group Stage,Week 5,LOUD vs LEVIATÁN,Breeze,LEVIATÁN,9,0,3,0,9,1,3,1
VCT 2026: Americas Stage 1,Group Stage,Week 5,LOUD vs LEVIATÁN,Haven,LOUD,9,3,1,0,8,1,1,0
VCT 2026: Americas Stage 1,Group Stage,Week 5,LOUD vs LEVIATÁN,Haven,LEVIATÁN,8,1,1,0,9,3,1,0
VCT 2026: Americas Stage 1,Group Stage,Week 5,Sentinels vs NRG,Fracture,Sentinels,7,2,2,0,7,4,1,1
VCT 2026: Americas Stage 1,Group Stage,Week 5,Sentinels vs NRG,Fracture,Mega Minors,7,4,1,1,7,2,2,0
VCT 2026: Americas Stage 1,Group Stage,Week 5,Sentinels vs NRG,Breeze,Sentinels,6,1,6,0,4,1,6,0
VCT 2026: Americas Stage 1,Group Stage,Week 5,Sentinels vs NRG,Breeze,Mega Minors,4,1,6,0,6,1,6,0
VCT 2026: Americas Stage 1,Group Stage,Week 5,Sentinels vs NRG,Lotus,Sentinels,2,2,6,0,8,1,4,0
VCT 2026: Americas Stage 1,Group Stage,Week 5,Sentinels vs NRG,Lotus,Mega Minors,8,1,4,0,2,2,6,0
VCT 2026: Americas Stage 1,Playoffs,Upper Round 1,FURIA vs LEVIATÁN,Breeze,FURIA,9,1,3,0,5,1,2,0
VCT 2026: Americas Stage 1,Playoffs,Upper Round 1,FURIA vs LEVIATÁN,Breeze,LEVIATÁN,5,1,2,0,9,1,3,0
