Tournament,Stage,Match Type,Match Name,Map,Round Number,Team,Loadout Value,Remaining Credits,Type,Outcome
VCT 2026: Americas Stage 1,Group Stage,Week 1,Sentinels vs KRÜ Esports,Lotus,21,Sentinels,,22.0k,Full buy: 20k+,Loss
VCT 2026: Americas Stage 1,Group Stage,Week 1,Sentinels vs KRÜ Esports,Lotus,21,KRÜ Esports,,4.7k,Semi-buy: 10-20k,Win
VCT 2026: Americas Stage 1,Group Stage,Week 1,Sentinels vs KRÜ Esports,Breeze,1,Sentinels,,0.1k,Eco: 0-5k,Loss
VCT 2026: Americas Stage 1,Group Stage,Week 1,Sentinels vs KRÜ Esports,Breeze,1,KRÜ Esports,,0.3k,Eco: 0-5k,Win
VCT 2026: Americas Stage 1,Group Stage,Week 1,Sentinels vs KRÜ Esports,Breeze,2,Sentinels,,8.8k,Eco: 0-5k,Loss
VCT 2026: Americas Stage 1,Group Stage,Week 1,Sentinels vs KRÜ Esports,Breeze,2,KRÜ Esports,,4.5k,Semi-buy: 10-20k,Win
VCT 2026: Americas Stage 1,Group Stage,Week 1,Sentinels vs KRÜ Esports,Breeze,3,Sentinels,,2.2k,Full buy: 20k+,Loss
VCT 2026: Americas Stage 1,Group Stage,Week 1,Sentinels vs KRÜ Esports,Breeze,3,KRÜ Esports,,13.6k,Semi-buy: 10-20k,Win
VCT 2026: Americas Stage 1,Group Stage,Week 1,Sentinels vs KRÜ Esports,Breeze,4,Sentinels,,1.2k,Semi-buy: 10-20k,Win
VCT 2026: Americas Stage 1,Group Stage,Week 1,Sentinels vs KRÜ Esports,Breeze,4,KRÜ Esports,,12.0k,Full buy: 20k+,Loss
VCT 2026: Americas Stage 1,Group Stage,Week 1,Sentinels vs KRÜ Esports,Breeze,5,Sentinels,,4.9k,Semi-buy: 10-20k,Win
VCT 2026: Americas Stage 1,Group Stage,Week 1,Sentinels vs KRÜ Esports,Breeze,5,KRÜ Esports,,1.9k,Full buy: 20k+,Loss
VCT 2026: Americas Stage 1,Group Stage,Week 1,Sentinels vs KRÜ Esports,Breeze,6,Sentinels,,14.5k,Full buy: 20k+,Win
VCT 2026: Americas Stage 1,Group Stage,Week 1,Sentinels vs KRÜ Esports,Breeze,6,KRÜ Esports,,9.3k,Semi-eco: 5-10k,Loss
VCT 2026: Americas Stage 1,Group Stage,Week 1,Sentinels vs KRÜ Esports,Breeze,7,Sentinels,,12.5k,Full buy: 20k+,Win
VCT 2026: Americas Stage 1,Group Stage,Week 1,Sentinels vs KRÜ Esports,Breeze,7,KRÜ Esports,,4.2k,Full buy: 20k+,Loss
VCT 2026: Americas Stage 1,Group Stage,Week 1,Sentinels vs KRÜ Esports,Breeze,8,Sentinels,,24.2k,Full buy: 20k+,Win
VCT 2026: Americas Stage 1,Group Stage,Week 1,Sentinels vs KRÜ Esports,Breeze,8,KRÜ Esports,,6.1k,Semi-buy: 10-20k,Loss
VCT 2026: Americas Stage 1,Group Stage,Week 1,Sentinels vs KRÜ Esports,Breeze,9,Sentinels,,26.5k,Full buy: 20k+,Loss
VCT 2026: Americas Stage 1,Group Stage,Week 1,Sentinels vs KRÜ Esports,Breeze,9,KRÜ Esports,,4.9k,Semi-buy: 10-20k,Win
