Tournament,Stage,Match Type,Match Name,Map,Team,Type,Initiated,Won
VCT 2026: Americas Stage 1,Group Stage,Week 1,G2 Esports vs MIBR,Split,G2 Esports,$$ (won),5,2
VCT 2026: Americas Stage 1,Group Stage,Week 1,G2 Esports vs MIBR,Split,G2 Esports,$$$ (won),21,10
VCT 2026: Americas Stage 1,Group Stage,Week 1,G2 Esports vs MIBR,Split,MIBR,Pistol Won,,1
VCT 2026: Americas Stage 1,Group Stage,Week 1,G2 Esports vs MIBR,Split,MIBR,Eco (won),3,1
VCT 2026: Americas Stage 1,Group Stage,Week 1,G2 Esports vs MIBR,Split,MIBR,$ (won),3,0
VCT 2026: Americas Stage 1,Group Stage,Week 1,G2 Esports vs MIBR,Split,MIBR,$$ (won),7,6
VCT 2026: Americas Stage 1,Group Stage,Week 1,G2 Esports vs MIBR,Split,MIBR,$$$ (won),17,9
VCT 2026: Americas Stage 1,Group Stage,Week 1,G2 Esports vs MIBR,All Maps,G2 Esports,Pistol Won,,2
VCT 2026: Americas Stage 1,Group Stage,Week 1,G2 Esports vs MIBR,All Maps,G2 Esports,Eco (won),5,2
VCT 2026: Americas Stage 1,Group Stage,Week 1,G2 Esports vs MIBR,All Maps,G2 Esports,$ (won),4,1
VCT 2026: Americas Stage 1,Group Stage,Week 1,G2 Esports vs MIBR,All Maps,G2 Esports,$$ (won),13,4
VCT 2026: Americas Stage 1,Group Stage,Week 1,G2 Esports vs MIBR,All Maps,G2 Esports,$$$ (won),29,15
VCT 2026: Americas Stage 1,Group Stage,Week 1,G2 Esports vs MIBR,All Maps,MIBR,Pistol Won,,2
VCT 2026: Americas Stage 1,Group Stage,Week 1,G2 Esports vs MIBR,All Maps,MIBR,Eco (won),6,2
VCT 2026: Americas Stage 1,Group Stage,Week 1,G2 Esports vs MIBR,All Maps,MIBR,$ (won),4,0
VCT 2026: Americas Stage 1,Group Stage,Week 1,G2 Esports vs MIBR,All Maps,MIBR,$$ (won),10,8
VCT 2026: Americas Stage 1,Group Stage,Week 1,G2 Esports vs MIBR,All Maps,MIBR,$$$ (won),31,19
VCT 2026: Americas Stage 1,Group Stage,Week 1,100 Thieves vs Evil Geniuses,Haven,100 Thieves,Pistol Won,,1
VCT 2026: Americas Stage 1,Group Stage,Week 1,100 Thieves vs Evil Geniuses,Haven,100 Thieves,Eco (won),3,2
VCT 2026: Americas Stage 1,Group Stage,Week 1,100 Thieves vs Evil Geniuses,Haven,100 Thieves,$ (won),0,0
VCT 2026: Americas Stage 1,Group Stage,Week 1,100 Thieves vs Evil Geniuses,Haven,100 Thieves,$$ (won),4,4
VCT 2026: Americas Stage 1,Group Stage,Week 1,100 Thieves vs Evil Geniuses,Haven,100 Thieves,$$$ (won),14,7
VCT 2026: Americas Stage 1,Group Stage,Week 1,100 Thieves vs Evil Geniuses,Haven,Evil Geniuses,Pistol Won,,1
VCT 2026: Americas Stage 1,Group Stage,Week 1,100 Thieves vs Evil Geniuses,Haven,Evil Geniuses,Eco (won),3,1
VCT 2026: Americas Stage 1,Group Stage,Week 1,100 Thieves vs Evil Geniuses,Haven,Evil Geniuses,$ (won),2,0
VCT 2026: Americas Stage 1,Group Stage,Week 1,100 Thieves vs Evil Geniuses,Haven,Evil Geniuses,$$ (won),5,2
VCT 2026: Americas Stage 1,Group Stage,Week 1,100 Thieves vs Evil Geniuses,Haven,Evil Geniuses,$$$ (won),11,5
VCT 2026: Americas Stage 1,Group Stage,Week 1,100 Thieves vs Evil Geniuses,Breeze,100 Thieves,Pistol Won,,1
VCT 2026: Americas Stage 1,Group Stage,Week 1,100 Thieves vs Evil Geniuses,Breeze,100 Thieves,Eco (won),3,2
VCT 2026: Americas Stage 1,Group Stage,Week 1,100 Thieves vs Evil Geniuses,Breeze,100 Thieves,$ (won),0,0
VCT 2026: Americas Stage 1,Group Stage,Week 1,100 Thieves vs Evil Geniuses,Breeze,100 Thieves,$$ (won),2,2
VCT 2026: Americas Stage 1,Group Stage,Week 1,100 Thieves vs Evil Geniuses,Breeze,100 Thieves,$$$ (won),12,9
VCT 2026: Americas Stage 1,Group Stage,Week 1,100 Thieves vs Evil Geniuses,Breeze,Evil Geniuses,Pistol Won,,1
VCT 2026: Americas Stage 1,Group Stage,Week 1,100 Thieves vs Evil Geniuses,Breeze,Evil Geniuses,Eco (won),4,1
VCT 2026: Americas Stage 1,Group Stage,Week 1,100 Thieves vs Evil Geniuses,Breeze,Evil Geniuses,$ (won),1,0
VCT 2026: Americas Stage 1,Group Stage,Week 1,100 Thieves vs Evil Geniuses,Breeze,Evil Geniuses,$$ (won),7,2
VCT 2026: Americas Stage 1,Group Stage,Week 1,100 Thieves vs Evil Geniuses,Breeze,Evil Geniuses,$$$ (won),5,1
VCT 2026: Americas Stage 1,Group Stage,Week 1,100 Thieves vs Evil Geniuses,All Maps,100 Thieves,Pistol Won,,2
