Tournament,Stage,Match Type,Match Name,Team A,Team B,Team A Score,Team B Score,Match Result
VCT 2026: EMEA Stage 1,Group Stage,Week 1,Team Heretics vs Natus Vincere,Team Heretics,Natus Vincere,1,2,Natus Vincere won
VCT 2026: EMEA Stage 1,Group Stage,Week 1,BBL Esports vs PCIFIC Esports,BBL Esports,PCIFIC Esports,2,0,BBL Esports won
VCT 2026: EMEA Stage 1,Group Stage,Week 2,PCIFIC Esports vs GIANTX,PCIFIC Esports,GIANTX,1,2,GIANTX won
VCT 2026: EMEA Stage 1,Group Stage,Week 2,BBL Esports vs Eternal Fire,BBL Esports,Eternal Fire,0,2,Eternal Fire won
VCT 2026: EMEA Stage 1,Group Stage,Week 2,FNATIC vs Team Vitality,FNATIC,Team Vitality,2,0,FNATIC won
VCT 2026: EMEA Stage 1,Group Stage,Week 2,Team Liquid vs Team Heretics,Team Liquid,Team Heretics,2,0,Team Liquid won
VCT 2026: EMEA Stage 1,Group Stage,Week 2,FUT Esports vs Natus Vincere,FUT Esports,Natus Vincere,2,1,FUT Esports won
VCT 2026: EMEA Stage 1,Group Stage,Week 2,Gentle Mates vs Karmine Corp,Gentle Mates,Karmine Corp,2,1,Gentle Mates won
VCT 2026: EMEA Stage 1,Group Stage,Week 3,BBL Esports vs GIANTX,BBL Esports,GIANTX,1,2,GIANTX won
VCT 2026: EMEA Stage 1,Group Stage,Week 3,Gentle Mates vs Natus Vincere,Gentle Mates,Natus Vincere,2,0,Gentle Mates won
VCT 2026: EMEA Stage 1,Group Stage,Week 3,Eternal Fire vs Team Vitality,Eternal Fire,Team Vitality,2,0,Eternal Fire won
VCT 2026: EMEA Stage 1,Group Stage,Week 3,Karmine Corp vs Team Heretics,Karmine Corp,Team Heretics,1,2,Team Heretics won
VCT 2026: EMEA Stage 1,Group Stage,Week 3,FUT Esports vs Team Liquid,FUT Esports,Team Liquid,2,0,FUT Esports won
VCT 2026: EMEA Stage 1,Group Stage,Week 3,PCIFIC Esports vs FNATIC,PCIFIC Esports,FNATIC,0,2,FNATIC won
VCT 2026: EMEA Stage 1,Group Stage,Week 4,Eternal Fire vs PCIFIC Esports,Eternal Fire,PCIFIC Esports,2,1,Eternal Fire won
VCT 2026: EMEA Stage 1,Group Stage,Week 4,Natus Vincere vs Team Liquid,Natus Vincere,Team Liquid,1,2,Team Liquid won
VCT 2026: EMEA Stage 1,Group Stage,Week 4,GIANTX vs FNATIC,GIANTX,FNATIC,1,2,FNATIC won
VCT 2026: EMEA Stage 1,Group Stage,Week 4,Karmine Corp vs FUT Esports,Karmine Corp,FUT Esports,1,2,FUT Esports won
VCT 2026: EMEA Stage 1,Group Stage,Week 4,Gentle Mates vs Team Heretics,Gentle Mates,Team Heretics,0,2,Team Heretics won
VCT 2026: EMEA Stage 1,Group Stage,Week 4,BBL Esports vs Team Vitality,BBL Esports,Team Vitality,2,1,BBL Esports won
VCT 2026: EMEA Stage 1,Group Stage,Week 5,Team Heretics vs FUT Esports,Team Heretics,FUT Esports,2,0,Team Heretics won
VCT 2026: EMEA Stage 1,Group Stage,Week 5,Team Vitality vs PCIFIC Esports,Team Vitality,PCIFIC Esports,2,0,Team Vitality won
VCT 2026: EMEA Stage 1,Group Stage,Week 5,Natus Vincere vs Karmine Corp,Natus Vincere,Karmine Corp,2,0,Natus Vincere won
VCT 2026: EMEA Stage 1,Group Stage,Week 5,BBL Esports vs FNATIC,BBL Esports,FNATIC,0,2,FNATIC won
VCT 2026: EMEA Stage 1,Group Stage,Week 5,GIANTX vs Eternal Fire,GIANTX,Eternal Fire,0,2,Eternal Fire won
VCT 2026: EMEA Stage 1,Group Stage,Week 5,Gentle Mates vs Team Liquid,Gentle Mates,Team Liquid,0,2,Team Liquid won
VCT 2026: EMEA Stage 1,Playoffs,Upper Round 1,Eternal Fire vs Team Heretics,Eternal Fire,Team Heretics,2,1,Eternal Fire won
VCT 2026: EMEA Stage 1,Playoffs,Upper Round 1,Team Liquid vs Team Vitality,Team Liquid,Team Vitality,1,2,Team Vitality won
VCT 2026: EMEA Stage 1,Playoffs,Upper Semifinals,FUT Esports vs Eternal Fire,FUT Esports,Eternal Fire,2,1,FUT Esports won
VCT 2026: EMEA Stage 1,Playoffs,Upper Semifinals,FNATIC vs Team Vitality,FNATIC,Team Vitality,0,2,Team Vitality won
VCT 2026: EMEA Stage 1,Playoffs,Lower Round 1,Team Heretics vs BBL Esports,Team Heretics,BBL Esports,2,0,Team Heretics won
VCT 2026: EMEA Stage 1,Playoffs,Lower Round 1,Team Liquid vs Gentle Mates,Team Liquid,Gentle Mates,1,2,Gentle Mates won
VCT 2026: EMEA Stage 1,Playoffs,Lower Round 2,FNATIC vs Team Heretics,FNATIC,Team Heretics,1,2,Team Heretics won
VCT 2026: EMEA Stage 1,Playoffs,Lower Round 2,Eternal Fire vs Gentle Mates,Eternal Fire,Gentle Mates,2,0,Eternal Fire won
VCT 2026: EMEA Stage 1,Playoffs,Upper Final,FUT Esports vs Team Vitality,FUT Esports,Team Vitality,1,2,Team Vitality won
VCT 2026: EMEA Stage 1,Playoffs,Lower Round 3,Team Heretics vs Eternal Fire,Team Heretics,Eternal Fire,2,1,Team Heretics won
VCT 2026: EMEA Stage 1,Playoffs,Lower Final,FUT Esports vs Team Heretics,FUT Esports,Team Heretics,1,3,Team Heretics won
VCT 2026: EMEA Stage 1,Playoffs,Grand Final,Team Vitality vs Team Heretics,Team Vitality,Team Heretics,2,3,Team Heretics won
VCT 2026: Pacific Stage 1,Group Stage,Week 1,Gen.G vs Global Esports,Gen.G,Global Esports,0,2,Global Esports won
VCT 2026: Pacific Stage 1,Group Stage,Week 1,T1 vs VARREL,T1,VARREL,2,0,T1 won
VCT 2026: Pacific Stage 1,Group Stage,Week 1,Nongshim RedForce vs Paper Rex,Nongshim RedForce,Paper Rex,1,2,Paper Rex won
VCT 2026: Pacific Stage 1,Group Stage,Week 1,FULL SENSE vs DetonatioN FocusMe,FULL SENSE,DetonatioN FocusMe,2,0,FULL SENSE won
VCT 2026: Pacific Stage 1,Group Stage,Week 1,Team Secret vs Kiwoom DRX,Team Secret,Kiwoom DRX,0,2,Kiwoom DRX won
VCT 2026: Pacific Stage 1,Group Stage,Week 1,Rex Regum Qeon vs ZETA DIVISION,Rex Regum Qeon,ZETA DIVISION,2,1,Rex Regum Qeon won
VCT 2026: Pacific Stage 1,Group Stage,Week 2,DetonatioN FocusMe vs T1,DetonatioN FocusMe,T1,0,2,T1 won
VCT 2026: Pacific Stage 1,Group Stage,Week 2,Nongshim RedForce vs Kiwoom DRX,Nongshim RedForce,Kiwoom DRX,1,2,Kiwoom DRX won
VCT 2026: Pacific Stage 1,Group Stage,Week 2,Team Secret vs Global Esports,Team Secret,Global Esports,0,2,Global Esports won
VCT 2026: Pacific Stage 1,Group Stage,Week 2,Rex Regum Qeon vs VARREL,Rex Regum Qeon,VARREL,2,0,Rex Regum Qeon won
VCT 2026: Pacific Stage 1,Group Stage,Week 2,FULL SENSE vs ZETA DIVISION,FULL SENSE,ZETA DIVISION,2,0,FULL SENSE won
VCT 2026: Pacific Stage 1,Group Stage,Week 2,Gen.G vs Paper Rex,Gen.G,Paper Rex,2,1,Gen.G won
VCT 2026: Pacific Stage 1,Group Stage,Week 3,FULL SENSE vs VARREL,FULL SENSE,VARREL,2,0,FULL SENSE won
VCT 2026: Pacific Stage 1,Group Stage,Week 3,Team Secret vs Paper Rex,Team Secret,Paper Rex,0,2,Paper Rex won
VCT 2026: Pacific Stage 1,Group Stage,Week 3,Kiwoom DRX vs Global Esports,Kiwoom DRX,Global Esports,2,0,Kiwoom DRX won
VCT 2026: Pacific Stage 1,Group Stage,Week 3,ZETA DIVISION vs DetonatioN FocusMe,ZETA DIVISION,DetonatioN FocusMe,1,2,DetonatioN FocusMe won
VCT 2026: Pacific Stage 1,Group Stage,Week 3,Rex Regum Qeon vs T1,Rex Regum Qeon,T1,0,2,T1 won
VCT 2026: Pacific Stage 1,Group Stage,Week 3,Nongshim RedForce vs Gen.G,Nongshim RedForce,Gen.G,2,0,Nongshim RedForce won
VCT 2026: Pacific Stage 1,Group Stage,Week 4,Rex Regum Qeon vs FULL SENSE,Rex Regum Qeon,FULL SENSE,2,1,Rex Regum Qeon won
