Tournament,Stage,Match Type,Match Name,Team,Action,Map
VCT 2026: Pacific Stage 1,Group Stage,Week 1,T1 vs VARREL,VARREL,ban,Bind
VCT 2026: Pacific Stage 1,Group Stage,Week 1,T1 vs VARREL,T1,pick,Haven
VCT 2026: Pacific Stage 1,Group Stage,Week 1,T1 vs VARREL,VARREL,pick,Pearl
VCT 2026: Pacific Stage 1,Group Stage,Week 1,T1 vs VARREL,T1,ban,Fracture
VCT 2026: Pacific Stage 1,Group Stage,Week 1,T1 vs VARREL,VARREL,ban,Split
VCT 2026: Pacific Stage 1,Group Stage,Week 1,Nongshim RedForce vs Paper Rex,Paper Rex,ban,Bind
VCT 2026: Pacific Stage 1,Group Stage,Week 1,Nongshim RedForce vs Paper Rex,Nongshim RedForce,ban,Breeze
VCT 2026: Pacific Stage 1,Group Stage,Week 1,Nongshim RedForce vs Paper Rex,Paper Rex,pick,Fracture
VCT 2026: Pacific Stage 1,Group Stage,Week 1,Nongshim RedForce vs Paper Rex,Nongshim RedForce,pick,Split
VCT 2026: Pacific Stage 1,Group Stage,Week 1,Nongshim RedForce vs Paper Rex,Paper Rex,ban,Pearl
VCT 2026: Pacific Stage 1,Group Stage,Week 1,Nongshim RedForce vs Paper Rex,Nongshim RedForce,ban,Haven
VCT 2026: Pacific Stage 1,Group Stage,Week 1,FULL SENSE vs DetonatioN FocusMe,DetonatioN FocusMe,ban,Breeze
VCT 2026: Pacific Stage 1,Group Stage,Week 1,FULL SENSE vs DetonatioN FocusMe,FULL SENSE,ban,Lotus
VCT 2026: Pacific Stage 1,Group Stage,Week 1,FULL SENSE vs DetonatioN FocusMe,DetonatioN FocusMe,pick,Pearl
VCT 2026: Pacific Stage 1,Group Stage,Week 1,FULL SENSE vs DetonatioN FocusMe,FULL SENSE,pick,Bind
VCT 2026: Pacific Stage 1,Group Stage,Week 1,FULL SENSE vs DetonatioN FocusMe,DetonatioN FocusMe,ban,Haven
VCT 2026: Pacific Stage 1,Group Stage,Week 1,FULL SENSE vs DetonatioN FocusMe,FULL SENSE,ban,Fracture
VCT 2026: Pacific Stage 1,Group Stage,Week 1,Team Secret vs Kiwoom DRX,Team Secret,ban,Haven
VCT 2026: Pacific Stage 1,Group Stage,Week 1,Team Secret vs Kiwoom DRX,Kiwoom DRX,ban,Bind
VCT 2026: Pacific Stage 1,Group Stage,Week 1,Team Secret vs Kiwoom DRX,Team Secret,pick,Pearl
VCT 2026: Pacific Stage 1,Group Stage,Week 1,Team Secret vs Kiwoom DRX,Kiwoom DRX,pick,Fracture
VCT 2026: Pacific Stage 1,Group Stage,Week 1,Team Secret vs Kiwoom DRX,Team Secret,ban,Breeze
VCT 2026: Pacific Stage 1,Group Stage,Week 1,Team Secret vs Kiwoom DRX,Kiwoom DRX,ban,Lotus
VCT 2026: Pacific Stage 1,Group Stage,Week 1,Rex Regum Qeon vs ZETA DIVISION,ZETA DIVISION,ban,Pearl
VCT 2026: Pacific Stage 1,Group Stage,Week 1,Rex Regum Qeon vs ZETA DIVISION,Rex Regum Qeon,ban,Breeze
VCT 2026: Pacific Stage 1,Group Stage,Week 1,Rex Regum Qeon vs ZETA DIVISION,ZETA DIVISION,pick,Split
VCT 2026: Pacific Stage 1,Group Stage,Week 1,Rex Regum Qeon vs ZETA DIVISION,Rex Regum Qeon,pick,Fracture
VCT 2026: Pacific Stage 1,Group Stage,Week 1,Rex Regum Qeon vs ZETA DIVISION,ZETA DIVISION,ban,Lotus
VCT 2026: Pacific Stage 1,Group Stage,Week 1,Rex Regum Qeon vs ZETA DIVISION,Rex Regum Qeon,ban,Bind
VCT 2026: Pacific Stage 1,Group Stage,Week 2,DetonatioN FocusMe vs T1,DetonatioN FocusMe,ban,Breeze
VCT 2026: Pacific Stage 1,Group Stage,Week 2,DetonatioN FocusMe vs T1,T1,ban,Haven
VCT 2026: Pacific Stage 1,Group Stage,Week 2,DetonatioN FocusMe vs T1,DetonatioN FocusMe,pick,Pearl
VCT 2026: Pacific Stage 1,Group Stage,Week 2,DetonatioN FocusMe vs T1,T1,pick,Lotus
VCT 2026: Pacific Stage 1,Group Stage,Week 2,DetonatioN FocusMe vs T1,DetonatioN FocusMe,ban,Bind
VCT 2026: Pacific Stage 1,Group Stage,Week 2,DetonatioN FocusMe vs T1,T1,ban,Fracture
VCT 2026: Pacific Stage 1,Group Stage,Week 2,Nongshim RedForce vs Kiwoom DRX,Nongshim RedForce,ban,Pearl
VCT 2026: Pacific Stage 1,Group Stage,Week 2,Nongshim RedForce vs Kiwoom DRX,Kiwoom DRX,ban,Bind
VCT 2026: Pacific Stage 1,Group Stage,Week 2,Nongshim RedForce vs Kiwoom DRX,Nongshim RedForce,pick,Haven
VCT 2026: Pacific Stage 1,Group Stage,Week 2,Nongshim RedForce vs Kiwoom DRX,Kiwoom DRX,pick,Fracture
VCT 2026: Pacific Stage 1,Group Stage,Week 2,Nongshim RedForce vs Kiwoom DRX,Nongshim RedForce,ban,Breeze
VCT 2026: Pacific Stage 1,Group Stage,Week 2,Nongshim RedForce vs Kiwoom DRX,Kiwoom DRX,ban,Split
VCT 2026: Pacific Stage 1,Group Stage,Week 2,Team Secret vs Global Esports,Global Esports,ban,Fracture
VCT 2026: Pacific Stage 1,Group Stage,Week 2,Team Secret vs Global Esports,Team Secret,ban,Haven
VCT 2026: Pacific Stage 1,Group Stage,Week 2,Team Secret vs Global Esports,Global Esports,pick,Split
VCT 2026: Pacific Stage 1,Group Stage,Week 2,Team Secret vs Global Esports,Team Secret,pick,Lotus
VCT 2026: Pacific Stage 1,Group Stage,Week 2,Team Secret vs Global Esports,Global Esports,ban,Pearl
VCT 2026: Pacific Stage 1,Group Stage,Week 2,Team Secret vs Global Esports,Team Secret,ban,Bind
VCT 2026: Pacific Stage 1,Group Stage,Week 2,Rex Regum Qeon vs VARREL,VARREL,ban,Pearl
VCT 2026: Pacific Stage 1,Group Stage,Week 2,Rex Regum Qeon vs VARREL,Rex Regum Qeon,ban,Breeze
VCT 2026: Pacific Stage 1,Group Stage,Week 2,Rex Regum Qeon vs VARREL,VARREL,pick,Bind
VCT 2026: Pacific Stage 1,Group Stage,Week 2,Rex Regum Qeon vs VARREL,Rex Regum Qeon,pick,Split
VCT 2026: Pacific Stage 1,Group Stage,Week 2,Rex Regum Qeon vs VARREL,VARREL,ban,Lotus
VCT 2026: Pacific Stage 1,Group Stage,Week 2,Rex Regum Qeon vs VARREL,Rex Regum Qeon,ban,Haven
VCT 2026: Pacific Stage 1,Group Stage,Week 2,FULL SENSE vs ZETA DIVISION,FULL SENSE,ban,Breeze
VCT 2026: Pacific Stage 1,Group Stage,Week 2,FULL SENSE vs ZETA DIVISION,ZETA DIVISION,ban,Pearl
VCT 2026: Pacific Stage 1,Group Stage,Week 2,FULL SENSE vs ZETA DIVISION,FULL SENSE,pick,Fracture
VCT 2026: Pacific Stage 1,Group Stage,Week 2,FULL SENSE vs ZETA DIVISION,ZETA DIVISION,pick,Split
VCT 2026: Pacific Stage 1,Group Stage,Week 2,FULL SENSE vs ZETA DIVISION,FULL SENSE,ban,Haven
VCT 2026: Pacific Stage 1,Group Stage,Week 2,FULL SENSE vs ZETA DIVISION,ZETA DIVISION,ban,Lotus
VCT 2026: Pacific Stage 1,Group Stage,Week 2,Gen.G vs Paper Rex,Gen.G,ban,Split
VCT 2026: Pacific Stage 1,Group Stage,Week 2,Gen.G vs Paper Rex,Paper Rex,ban,Pearl
VCT 2026: Pacific Stage 1,Group Stage,Week 2,Gen.G vs Paper Rex,Gen.G,pick,Haven
VCT 2026: Pacific Stage 1,Group Stage,Week 2,Gen.G vs Paper Rex,Paper Rex,pick,Fracture
VCT 2026: Pacific Stage 1,Group Stage,Week 2,Gen.G vs Paper Rex,Gen.G,ban,Breeze
VCT 2026: Pacific Stage 1,Group Stage,Week 2,Gen.G vs Paper Rex,Paper Rex,ban,Bind
VCT 2026: Pacific Stage 1,Group Stage,Week 3,FULL SENSE vs VARREL,FULL SENSE,ban,Breeze
VCT 2026: Pacific Stage 1,Group Stage,Week 3,FULL SENSE vs VARREL,VARREL,ban,Pearl
VCT 2026: Pacific Stage 1,Group Stage,Week 3,FULL SENSE vs VARREL,FULL SENSE,pick,Haven
VCT 2026: Pacific Stage 1,Group Stage,Week 3,FULL SENSE vs VARREL,VARREL,pick,Lotus
VCT 2026: Pacific Stage 1,Group Stage,Week 3,FULL SENSE vs VARREL,FULL SENSE,ban,Fracture
VCT 2026: Pacific Stage 1,Group Stage,Week 3,FULL SENSE vs VARREL,VARREL,ban,Split
VCT 2026: Pacific Stage 1,Group Stage,Week 3,Team Secret vs Paper Rex,Team Secret,ban,Haven
VCT 2026: Pacific Stage 1,Group Stage,Week 3,Team Secret vs Paper Rex,Paper Rex,ban,Pearl
VCT 2026: Pacific Stage 1,Group Stage,Week 3,Team Secret vs Paper Rex,Team Secret,pick,Breeze
VCT 2026: Pacific Stage 1,Group Stage,Week 3,Team Secret vs Paper Rex,Paper Rex,pick,Split
VCT 2026: Pacific Stage 1,Group Stage,Week 3,Team Secret vs Paper Rex,Team Secret,ban,Bind
VCT 2026: Pacific Stage 1,Group Stage,Week 3,Team Secret vs Paper Rex,Paper Rex,ban,Lotus
VCT 2026: Pacific Stage 1,Group Stage,Week 3,Kiwoom DRX vs Global Esports,Kiwoom DRX,ban,Bind
VCT 2026: Pacific Stage 1,Group Stage,Week 3,Kiwoom DRX vs Global Esports,Global Esports,ban,Pearl
VCT 2026: Pacific Stage 1,Group Stage,Week 3,Kiwoom DRX vs Global Esports,Kiwoom DRX,pick,Fracture
VCT 2026: Pacific Stage 1,Group Stage,Week 3,Kiwoom DRX vs Global Esports,Global Esports,pick,Haven
VCT 2026: Pacific Stage 1,Group Stage,Week 3,Kiwoom DRX vs Global Esports,Kiwoom DRX,ban,Split
VCT 2026: Pacific Stage 1,Group Stage,Week 3,Kiwoom DRX vs Global Esports,Global Esports,ban,Breeze
VCT 2026: Pacific Stage 1,Group Stage,Week 3,ZETA DIVISION vs DetonatioN FocusMe,ZETA DIVISION,ban,Fracture
VCT 2026: Pacific Stage 1,Group Stage,Week 3,ZETA DIVISION vs DetonatioN FocusMe,DetonatioN FocusMe,ban,Haven
VCT 2026: Pacific Stage 1,Group Stage,Week 3,ZETA DIVISION vs DetonatioN FocusMe,ZETA DIVISION,pick,Bind
VCT 2026: Pacific Stage 1,Group Stage,Week 3,ZETA DIVISION vs DetonatioN FocusMe,DetonatioN FocusMe,pick,Lotus
VCT 2026: Pacific Stage 1,Group Stage,Week 3,ZETA DIVISION vs DetonatioN FocusMe,ZETA DIVISION,ban,Breeze
VCT 2026: Pacific Stage 1,Group Stage,Week 3,ZETA DIVISION vs DetonatioN FocusMe,DetonatioN FocusMe,ban,Split
VCT 2026: Pacific Stage 1,Group Stage,Week 3,Rex Regum Qeon vs T1,Rex Regum Qeon,ban,Split
VCT 2026: Pacific Stage 1,Group Stage,Week 3,Rex Regum Qeon vs T1,T1,ban,Fracture
VCT 2026: Pacific Stage 1,Group Stage,Week 3,Rex Regum Qeon vs T1,Rex Regum Qeon,pick,Pearl
VCT 2026: Pacific Stage 1,Group Stage,Week 3,Rex Regum Qeon vs T1,T1,pick,Bind
VCT 2026: Pacific Stage 1,Group Stage,Week 3,Rex Regum Qeon vs T1,Rex Regum Qeon,ban,Haven
VCT 2026: Pacific Stage 1,Group Stage,Week 3,Rex Regum Qeon vs T1,T1,ban,Breeze
VCT 2026: Pacific Stage 1,Group Stage,Week 3,Nongshim RedForce vs Gen.G,Nongshim RedForce,ban,Lotus
VCT 2026: Pacific Stage 1,Group Stage,Week 3,Nongshim RedForce vs Gen.G,Gen.G,ban,Bind
VCT 2026: Pacific Stage 1,Group Stage,Week 3,Nongshim RedForce vs Gen.G,Nongshim RedForce,pick,Pearl
VCT 2026: Pacific Stage 1,Group Stage,Week 3,Nongshim RedForce vs Gen.G,Gen.G,pick,Breeze
VCT 2026: Pacific Stage 1,Group Stage,Week 3,Nongshim RedForce vs Gen.G,Nongshim RedForce,ban,Haven
VCT 2026: Pacific Stage 1,Group Stage,Week 3,Nongshim RedForce vs Gen.G,Gen.G,ban,Fracture
VCT 2026: Pacific Stage 1,Group Stage,Week 4,Rex Regum Qeon vs FULL SENSE,Rex Regum Qeon,ban,Split
VCT 2026: Pacific Stage 1,Group Stage,Week 4,Rex Regum Qeon vs FULL SENSE,FULL SENSE,ban,Breeze
VCT 2026: Pacific Stage 1,Group Stage,Week 4,Rex Regum Qeon vs FULL SENSE,Rex Regum Qeon,pick,Pearl
VCT 2026: Pacific Stage 1,Group Stage,Week 4,Rex Regum Qeon vs FULL SENSE,FULL SENSE,pick,Haven
VCT 2026: Pacific Stage 1,Group Stage,Week 4,Rex Regum Qeon vs FULL SENSE,Rex Regum Qeon,ban,Bind
VCT 2026: Pacific Stage 1,Group Stage,Week 4,Rex Regum Qeon vs FULL SENSE,FULL SENSE,ban,Lotus
VCT 2026: Pacific Stage 1,Group Stage,Week 4,Paper Rex vs Global Esports,Global Esports,ban,Fracture
VCT 2026: Pacific Stage 1,Group Stage,Week 4,Paper Rex vs Global Esports,Paper Rex,ban,Bind
VCT 2026: Pacific Stage 1,Group Stage,Week 4,Paper Rex vs Global Esports,Global Esports,pick,Split
VCT 2026: Pacific Stage 1,Group Stage,Week 4,Paper Rex vs Global Esports,Paper Rex,pick,Pearl
VCT 2026: Pacific Stage 1,Group Stage,Week 4,Paper Rex vs Global Esports,Global Esports,ban,Lotus
VCT 2026: Pacific Stage 1,Group Stage,Week 4,Paper Rex vs Global Esports,Paper Rex,ban,Breeze
VCT 2026: Pacific Stage 1,Group Stage,Week 4,Gen.G vs Kiwoom DRX,Gen.G,ban,Fracture
VCT 2026: Pacific Stage 1,Group Stage,Week 4,Gen.G vs Kiwoom DRX,Kiwoom DRX,ban,Bind
VCT 2026: Pacific Stage 1,Group Stage,Week 4,Gen.G vs Kiwoom DRX,Gen.G,pick,Haven
VCT 2026: Pacific Stage 1,Group Stage,Week 4,Gen.G vs Kiwoom DRX,Kiwoom DRX,pick,Pearl
VCT 2026: Pacific Stage 1,Group Stage,Week 4,Gen.G vs Kiwoom DRX,Gen.G,ban,Breeze
VCT 2026: Pacific Stage 1,Group Stage,Week 4,Gen.G vs Kiwoom DRX,Kiwoom DRX,ban,Split
VCT 2026: Pacific Stage 1,Group Stage,Week 4,DetonatioN FocusMe vs VARREL,DetonatioN FocusMe,ban,Breeze
VCT 2026: Pacific Stage 1,Group Stage,Week 4,DetonatioN FocusMe vs VARREL,VARREL,ban,Pearl
VCT 2026: Pacific Stage 1,Group Stage,Week 4,DetonatioN FocusMe vs VARREL,DetonatioN FocusMe,pick,Lotus
VCT 2026: Pacific Stage 1,Group Stage,Week 4,DetonatioN FocusMe vs VARREL,VARREL,pick,Haven
VCT 2026: Pacific Stage 1,Group Stage,Week 4,DetonatioN FocusMe vs VARREL,DetonatioN FocusMe,ban,Bind
VCT 2026: Pacific Stage 1,Group Stage,Week 4,DetonatioN FocusMe vs VARREL,VARREL,ban,Split
VCT 2026: Pacific Stage 1,Group Stage,Week 4,T1 vs ZETA DIVISION,ZETA DIVISION,ban,Pearl
VCT 2026: Pacific Stage 1,Group Stage,Week 4,T1 vs ZETA DIVISION,T1,ban,Fracture
VCT 2026: Pacific Stage 1,Group Stage,Week 4,T1 vs ZETA DIVISION,ZETA DIVISION,pick,Haven
VCT 2026: Pacific Stage 1,Group Stage,Week 4,T1 vs ZETA DIVISION,T1,pick,Lotus
VCT 2026: Pacific Stage 1,Group Stage,Week 4,T1 vs ZETA DIVISION,ZETA DIVISION,ban,Bind
VCT 2026: Pacific Stage 1,Group Stage,Week 4,T1 vs ZETA DIVISION,T1,ban,Breeze
VCT 2026: Pacific Stage 1,Group Stage,Week 4,Nongshim RedForce vs Team Secret,Nongshim RedForce,ban,Lotus
VCT 2026: Pacific Stage 1,Group Stage,Week 4,Nongshim RedForce vs Team Secret,Team Secret,ban,Haven
VCT 2026: Pacific Stage 1,Group Stage,Week 4,Nongshim RedForce vs Team Secret,Nongshim RedForce,pick,Breeze
VCT 2026: Pacific Stage 1,Group Stage,Week 4,Nongshim RedForce vs Team Secret,Team Secret,pick,Fracture
VCT 2026: Pacific Stage 1,Group Stage,Week 4,Nongshim RedForce vs Team Secret,Nongshim RedForce,ban,Split
VCT 2026: Pacific Stage 1,Group Stage,Week 4,Nongshim RedForce vs Team Secret,Team Secret,ban,Bind
VCT 2026: Pacific Stage 1,Group Stage,Week 5,Gen.G vs Team Secret,Team Secret,ban,Haven
VCT 2026: Pacific Stage 1,Group Stage,Week 5,Gen.G vs Team Secret,Gen.G,ban,Fracture
VCT 2026: Pacific Stage 1,Group Stage,Week 5,Gen.G vs Team Secret,Team Secret,pick,Split
VCT 2026: Pacific Stage 1,Group Stage,Week 5,Gen.G vs Team Secret,Gen.G,pick,Lotus
VCT 2026: Pacific Stage 1,Group Stage,Week 5,Gen.G vs Team Secret,Team Secret,ban,Pearl
VCT 2026: Pacific Stage 1,Group Stage,Week 5,Gen.G vs Team Secret,Gen.G,ban,Bind
VCT 2026: Pacific Stage 1,Group Stage,Week 5,VARREL vs ZETA DIVISION,VARREL,ban,Split
VCT 2026: Pacific Stage 1,Group Stage,Week 5,VARREL vs ZETA DIVISION,ZETA DIVISION,ban,Pearl
VCT 2026: Pacific Stage 1,Group Stage,Week 5,VARREL vs ZETA DIVISION,VARREL,pick,Bind
VCT 2026: Pacific Stage 1,Group Stage,Week 5,VARREL vs ZETA DIVISION,ZETA DIVISION,pick,Breeze
VCT 2026: Pacific Stage 1,Group Stage,Week 5,VARREL vs ZETA DIVISION,VARREL,ban,Haven
VCT 2026: Pacific Stage 1,Group Stage,Week 5,VARREL vs ZETA DIVISION,ZETA DIVISION,ban,Lotus
VCT 2026: Pacific Stage 1,Group Stage,Week 5,T1 vs FULL SENSE,FULL SENSE,ban,Lotus
VCT 2026: Pacific Stage 1,Group Stage,Week 5,T1 vs FULL SENSE,T1,ban,Fracture
VCT 2026: Pacific Stage 1,Group Stage,Week 5,T1 vs FULL SENSE,FULL SENSE,pick,Pearl
VCT 2026: Pacific Stage 1,Group Stage,Week 5,T1 vs FULL SENSE,T1,pick,Bind
VCT 2026: Pacific Stage 1,Group Stage,Week 5,T1 vs FULL SENSE,FULL SENSE,ban,Split
VCT 2026: Pacific Stage 1,Group Stage,Week 5,T1 vs FULL SENSE,T1,ban,Haven
VCT 2026: Pacific Stage 1,Group Stage,Week 5,Nongshim RedForce vs Global Esports,Nongshim RedForce,ban,Fracture
VCT 2026: Pacific Stage 1,Group Stage,Week 5,Nongshim RedForce vs Global Esports,Global Esports,ban,Pearl
VCT 2026: Pacific Stage 1,Group Stage,Week 5,Nongshim RedForce vs Global Esports,Nongshim RedForce,pick,Breeze
VCT 2026: Pacific Stage 1,Group Stage,Week 5,Nongshim RedForce vs Global Esports,Global Esports,pick,Bind
VCT 2026: Pacific Stage 1,Group Stage,Week 5,Nongshim RedForce vs Global Esports,Nongshim RedForce,ban,Split
VCT 2026: Pacific Stage 1,Group Stage,Week 5,Nongshim RedForce vs Global Esports,Global Esports,ban,Lotus
VCT 2026: Pacific Stage 1,Group Stage,Week 5,Paper Rex vs Kiwoom DRX,Paper Rex,ban,Pearl
VCT 2026: Pacific Stage 1,Group Stage,Week 5,Paper Rex vs Kiwoom DRX,Kiwoom DRX,ban,Bind
VCT 2026: Pacific Stage 1,Group Stage,Week 5,Paper Rex vs Kiwoom DRX,Paper Rex,pick,Breeze
VCT 2026: Pacific Stage 1,Group Stage,Week 5,Paper Rex vs Kiwoom DRX,Kiwoom DRX,pick,Lotus
VCT 2026: Pacific Stage 1,Group Stage,Week 5,Paper Rex vs Kiwoom DRX,Paper Rex,ban,Haven
VCT 2026: Pacific Stage 1,Group Stage,Week 5,Paper Rex vs Kiwoom DRX,Kiwoom DRX,ban,Split
VCT 2026: Pacific Stage 1,Group Stage,Week 5,Rex Regum Qeon vs DetonatioN FocusMe,DetonatioN FocusMe,ban,Bind
VCT 2026: Pacific Stage 1,Group Stage,Week 5,Rex Regum Qeon vs DetonatioN FocusMe,Rex Regum Qeon,ban,Split
VCT 2026: Pacific Stage 1,Group Stage,Week 5,Rex Regum Qeon vs DetonatioN FocusMe,DetonatioN FocusMe,pick,Haven
VCT 2026: Pacific Stage 1,Group Stage,Week 5,Rex Regum Qeon vs DetonatioN FocusMe,Rex Regum Qeon,pick,Lotus
VCT 2026: Pacific Stage 1,Group Stage,Week 5,Rex Regum Qeon vs DetonatioN FocusMe,DetonatioN FocusMe,ban,Pearl
VCT 2026: Pacific Stage 1,Group Stage,Week 5,Rex Regum Qeon vs DetonatioN FocusMe,Rex Regum Qeon,ban,Breeze
VCT 2026: Pacific Stage 1,Playoffs,Upper Round 1,Rex Regum Qeon vs Global Esports,Global Esports,ban,Fracture
VCT 2026: Pacific Stage 1,Playoffs,Upper Round 1,Rex Regum Qeon vs Global Esports,Rex Regum Qeon,ban,Split
VCT 2026: Pacific Stage 1,Playoffs,Upper Round 1,Rex Regum Qeon vs Global Esports,Global Esports,pick,Breeze
VCT 2026: Pacific Stage 1,Playoffs,Upper Round 1,Rex Regum Qeon vs Global Esports,Rex Regum Qeon,pick,Pearl
VCT 2026: Pacific Stage 1,Playoffs,Upper Round 1,Rex Regum Qeon vs Global Esports,Global Esports,ban,Lotus
VCT 2026: Pacific Stage 1,Playoffs,Upper Round 1,Rex Regum Qeon vs Global Esports,Rex Regum Qeon,ban,Haven
VCT 2026: Pacific Stage 1,Playoffs,Upper Round 1,Kiwoom DRX vs FULL SENSE,FULL SENSE,ban,Ascent
VCT 2026: Pacific Stage 1,Playoffs,Upper Round 1,Kiwoom DRX vs FULL SENSE,Kiwoom DRX,ban,Pearl
VCT 2026: Pacific Stage 1,Playoffs,Upper Round 1,Kiwoom DRX vs FULL SENSE,FULL SENSE,pick,Lotus
VCT 2026: Pacific Stage 1,Playoffs,Upper Round 1,Kiwoom DRX vs FULL SENSE,Kiwoom DRX,pick,Fracture
VCT 2026: Pacific Stage 1,Playoffs,Upper Round 1,Kiwoom DRX vs FULL SENSE,FULL SENSE,ban,Split
VCT 2026: Pacific Stage 1,Playoffs,Upper Round 1,Kiwoom DRX vs FULL SENSE,Kiwoom DRX,ban,Haven
VCT 2026: Pacific Stage 1,Playoffs,Upper Semifinals,Paper Rex vs Global Esports,Global Esports,ban,Fracture
VCT 2026: Pacific Stage 1,Playoffs,Upper Semifinals,Paper Rex vs Global Esports,Paper Rex,ban,Haven
VCT 2026: Pacific Stage 1,Playoffs,Upper Semifinals,Paper Rex vs Global Esports,Global Esports,pick,Breeze
VCT 2026: Pacific Stage 1,Playoffs,Upper Semifinals,Paper Rex vs Global Esports,Paper Rex,pick,Lotus
VCT 2026: Pacific Stage 1,Playoffs,Upper Semifinals,Paper Rex vs Global Esports,Global Esports,ban,Split
VCT 2026: Pacific Stage 1,Playoffs,Upper Semifinals,Paper Rex vs Global Esports,Paper Rex,ban,Ascent
VCT 2026: Pacific Stage 1,Playoffs,Upper Semifinals,T1 vs FULL SENSE,FULL SENSE,ban,Ascent
VCT 2026: Pacific Stage 1,Playoffs,Upper Semifinals,T1 vs FULL SENSE,T1,ban,Fracture
VCT 2026: Pacific Stage 1,Playoffs,Upper Semifinals,T1 vs FULL SENSE,FULL SENSE,pick,Pearl
VCT 2026: Pacific Stage 1,Playoffs,Upper Semifinals,T1 vs FULL SENSE,T1,pick,Lotus
VCT 2026: Pacific Stage 1,Playoffs,Upper Semifinals,T1 vs FULL SENSE,FULL SENSE,ban,Split
VCT 2026: Pacific Stage 1,Playoffs,Upper Semifinals,T1 vs FULL SENSE,T1,ban,Haven
VCT 2026: Pacific Stage 1,Playoffs,Lower Round 1,Rex Regum Qeon vs DetonatioN FocusMe,DetonatioN FocusMe,ban,Fracture
VCT 2026: Pacific Stage 1,Playoffs,Lower Round 1,Rex Regum Qeon vs DetonatioN FocusMe,Rex Regum Qeon,ban,Split
VCT 2026: Pacific Stage 1,Playoffs,Lower Round 1,Rex Regum Qeon vs DetonatioN FocusMe,DetonatioN FocusMe,pick,Ascent
VCT 2026: Pacific Stage 1,Playoffs,Lower Round 1,Rex Regum Qeon vs DetonatioN FocusMe,Rex Regum Qeon,pick,Breeze
VCT 2026: Pacific Stage 1,Playoffs,Lower Round 1,Rex Regum Qeon vs DetonatioN FocusMe,DetonatioN FocusMe,ban,Pearl
VCT 2026: Pacific Stage 1,Playoffs,Lower Round 1,Rex Regum Qeon vs DetonatioN FocusMe,Rex Regum Qeon,ban,Haven
VCT 2026: Pacific Stage 1,Playoffs,Lower Round 1,Kiwoom DRX vs Nongshim RedForce,Nongshim RedForce,ban,Fracture
VCT 2026: Pacific Stage 1,Playoffs,Lower Round 1,Kiwoom DRX vs Nongshim RedForce,Kiwoom DRX,ban,Breeze
VCT 2026: Pacific Stage 1,Playoffs,Lower Round 1,Kiwoom DRX vs Nongshim RedForce,Nongshim RedForce,pick,Pearl
VCT 2026: Pacific Stage 1,Playoffs,Lower Round 1,Kiwoom DRX vs Nongshim RedForce,Kiwoom DRX,pick,Split
VCT 2026: Pacific Stage 1,Playoffs,Lower Round 1,Kiwoom DRX vs Nongshim RedForce,Nongshim RedForce,ban,Lotus
VCT 2026: Pacific Stage 1,Playoffs,Lower Round 1,Kiwoom DRX vs Nongshim RedForce,Kiwoom DRX,ban,Ascent
VCT 2026: Pacific Stage 1,Playoffs,Lower Round 2,T1 vs Rex Regum Qeon,Rex Regum Qeon,ban,Split
VCT 2026: Pacific Stage 1,Playoffs,Lower Round 2,T1 vs Rex Regum Qeon,T1,ban,Fracture
VCT 2026: Pacific Stage 1,Playoffs,Lower Round 2,T1 vs Rex Regum Qeon,Rex Regum Qeon,pick,Haven
VCT 2026: Pacific Stage 1,Playoffs,Lower Round 2,T1 vs Rex Regum Qeon,T1,pick,Lotus
VCT 2026: Pacific Stage 1,Playoffs,Lower Round 2,T1 vs Rex Regum Qeon,Rex Regum Qeon,ban,Pearl
VCT 2026: Pacific Stage 1,Playoffs,Lower Round 2,T1 vs Rex Regum Qeon,T1,ban,Ascent
VCT 2026: Pacific Stage 1,Playoffs,Lower Round 2,Paper Rex vs Kiwoom DRX,Kiwoom DRX,ban,Lotus
VCT 2026: Pacific Stage 1,Playoffs,Lower Round 2,Paper Rex vs Kiwoom DRX,Paper Rex,ban,Pearl
VCT 2026: Pacific Stage 1,Playoffs,Lower Round 2,Paper Rex vs Kiwoom DRX,Kiwoom DRX,pick,Ascent
VCT 2026: Pacific Stage 1,Playoffs,Lower Round 2,Paper Rex vs Kiwoom DRX,Paper Rex,pick,Breeze
VCT 2026: Pacific Stage 1,Playoffs,Lower Round 2,Paper Rex vs Kiwoom DRX,Kiwoom DRX,ban,Fracture
VCT 2026: Pacific Stage 1,Playoffs,Lower Round 2,Paper Rex vs Kiwoom DRX,Paper Rex,ban,Haven
VCT 2026: Pacific Stage 1,Playoffs,Upper Final,Global Esports vs FULL SENSE,FULL SENSE,ban,Ascent
VCT 2026: Pacific Stage 1,Playoffs,Upper Final,Global Esports vs FULL SENSE,Global Esports,ban,Fracture
VCT 2026: Pacific Stage 1,Playoffs,Upper Final,Global Esports vs FULL SENSE,FULL SENSE,pick,Split
VCT 2026: Pacific Stage 1,Playoffs,Upper Final,Global Esports vs FULL SENSE,Global Esports,pick,Breeze
VCT 2026: Pacific Stage 1,Playoffs,Upper Final,Global Esports vs FULL SENSE,FULL SENSE,ban,Haven
VCT 2026: Pacific Stage 1,Playoffs,Upper Final,Global Esports vs FULL SENSE,Global Esports,ban,Pearl
VCT 2026: Pacific Stage 1,Playoffs,Lower Round 3,T1 vs Paper Rex,Paper Rex,ban,Pearl
