Tournament,Stage,Match Type,Match Name,Map,Team,Player,Agents,2k,3k,4k,5k,1v1,1v2,1v3,1v4,1v5,Econ,Spike Plants,Spike Defuses
VCT 2026: Americas Stage 1,Group Stage,Week 3,G2 Esports vs LOUD,Haven,LOUD,lukxo,vyse,5,,1,,1,,,,,62,1,0
VCT 2026: Americas Stage 1,Group Stage,Week 3,G2 Esports vs LOUD,Pearl,G2 Esports,BABYBAY,vyse,1,2,,,,,,,,44,1,1
VCT 2026: Americas Stage 1,Group Stage,Week 3,G2 Esports vs LOUD,Pearl,G2 Esports,valyn,harbor,2,1,1,,,,,,,79,3,0
VCT 2026: Americas Stage 1,Group Stage,Week 3,G2 Esports vs LOUD,Pearl,G2 Esports,jawgemo,neon,4,1,,,,,,,,37,1,1
VCT 2026: Americas Stage 1,Group Stage,Week 3,G2 Esports vs LOUD,Pearl,G2 Esports,leaf,astra,3,2,,,,,,,,61,0,0
VCT 2026: Americas Stage 1,Group Stage,Week 3,G2 Esports vs LOUD,Pearl,G2 Esports,trent,sova,4,,,,,,,,,78,2,1
VCT 2026: Americas Stage 1,Group Stage,Week 3,G2 Esports vs LOUD,Pearl,LOUD,Virtyy,neon,3,,,,,,,,,32,0,0
VCT 2026: Americas Stage 1,Group Stage,Week 3,G2 Esports vs LOUD,Pearl,LOUD,Bati,kayo,2,,,,,,,,,24,3,1
VCT 2026: Americas Stage 1,Group Stage,Week 3,G2 Esports vs LOUD,Pearl,LOUD,cauanzin,sova,1,2,,,,,,,,48,5,0
VCT 2026: Americas Stage 1,Group Stage,Week 3,G2 Esports vs LOUD,Pearl,LOUD,Darker,astra,4,,,,,,,,,48,0,0
VCT 2026: Americas Stage 1,Group Stage,Week 3,G2 Esports vs LOUD,Pearl,LOUD,lukxo,chamber,7,1,,,1,,,,,66,0,0
VCT 2026: Americas Stage 1,Group Stage,Week 3,FURIA vs KRÜ Esports,All Maps,FURIA,nerve,"omen, viper",4,1,1,,,,,,,66,3,0
VCT 2026: Americas Stage 1,Group Stage,Week 3,FURIA vs KRÜ Esports,All Maps,FURIA,eeiu,"fade, sova",5,1,,,,,,,,47,1,0
VCT 2026: Americas Stage 1,Group Stage,Week 3,FURIA vs KRÜ Esports,All Maps,FURIA,koalanoob,"omen, phoenix",3,,,,1,,,,,34,3,0
VCT 2026: Americas Stage 1,Group Stage,Week 3,FURIA vs KRÜ Esports,All Maps,FURIA,artzin,"cypher, vyse",4,1,,,,,,,,50,6,0
VCT 2026: Americas Stage 1,Group Stage,Week 3,FURIA vs KRÜ Esports,All Maps,FURIA,alym,neon,3,2,1,,,,,,,41,0,2
VCT 2026: Americas Stage 1,Group Stage,Week 3,FURIA vs KRÜ Esports,All Maps,KRÜ Esports,saadhak,omen,8,2,1,,2,,,,,72,2,3
VCT 2026: Americas Stage 1,Group Stage,Week 3,FURIA vs KRÜ Esports,All Maps,KRÜ Esports,mwzera,fade,4,3,,,,,,,,56,3,3
VCT 2026: Americas Stage 1,Group Stage,Week 3,FURIA vs KRÜ Esports,All Maps,KRÜ Esports,Less,"cypher, viper",5,1,1,,,,,,,60,0,0
VCT 2026: Americas Stage 1,Group Stage,Week 3,FURIA vs KRÜ Esports,All Maps,KRÜ Esports,silentzz,"phoenix, vyse",3,1,,,,,,,,45,4,1
VCT 2026: Americas Stage 1,Group Stage,Week 3,FURIA vs KRÜ Esports,All Maps,KRÜ Esports,Dantedeu5,neon,6,2,,,,,,,,62,0,2
VCT 2026: Americas Stage 1,Group Stage,Week 3,FURIA vs KRÜ Esports,Lotus,FURIA,nerve,viper,2,,,,,,,,,68,1,0
VCT 2026: Americas Stage 1,Group Stage,Week 3,FURIA vs KRÜ Esports,Lotus,FURIA,eeiu,fade,3,,,,,,,,,41,1,0
VCT 2026: Americas Stage 1,Group Stage,Week 3,FURIA vs KRÜ Esports,Lotus,FURIA,koalanoob,omen,1,,,,,,,,,30,2,0
VCT 2026: Americas Stage 1,Group Stage,Week 3,FURIA vs KRÜ Esports,Lotus,FURIA,artzin,vyse,1,1,,,,,,,,48,3,0
VCT 2026: Americas Stage 1,Group Stage,Week 3,FURIA vs KRÜ Esports,Lotus,FURIA,alym,neon,1,,1,,,,,,,37,0,1
VCT 2026: Americas Stage 1,Group Stage,Week 3,FURIA vs KRÜ Esports,Lotus,KRÜ Esports,saadhak,omen,2,2,1,,,,,,,89,1,2
VCT 2026: Americas Stage 1,Group Stage,Week 3,FURIA vs KRÜ Esports,Lotus,KRÜ Esports,mwzera,fade,2,1,,,,,,,,42,2,2
VCT 2026: Americas Stage 1,Group Stage,Week 3,FURIA vs KRÜ Esports,Lotus,KRÜ Esports,Less,viper,2,1,,,,,,,,64,0,0
VCT 2026: Americas Stage 1,Group Stage,Week 3,FURIA vs KRÜ Esports,Lotus,KRÜ Esports,silentzz,vyse,1,1,,,,,,,,43,1,0
VCT 2026: Americas Stage 1,Group Stage,Week 3,FURIA vs KRÜ Esports,Lotus,KRÜ Esports,Dantedeu5,neon,4,1,,,,,,,,86,0,1
VCT 2026: Americas Stage 1,Group Stage,Week 3,FURIA vs KRÜ Esports,Haven,FURIA,nerve,omen,2,1,1,,,,,,,64,2,0
VCT 2026: Americas Stage 1,Group Stage,Week 3,FURIA vs KRÜ Esports,Haven,FURIA,eeiu,sova,2,1,,,,,,,,52,0,0
VCT 2026: Americas Stage 1,Group Stage,Week 3,FURIA vs KRÜ Esports,Haven,FURIA,koalanoob,phoenix,2,,,,1,,,,,38,1,0
VCT 2026: Americas Stage 1,Group Stage,Week 3,FURIA vs KRÜ Esports,Haven,FURIA,artzin,cypher,3,,,,,,,,,52,3,0
VCT 2026: Americas Stage 1,Group Stage,Week 3,FURIA vs KRÜ Esports,Haven,FURIA,alym,neon,2,2,,,,,,,,44,0,1
VCT 2026: Americas Stage 1,Group Stage,Week 3,FURIA vs KRÜ Esports,Haven,KRÜ Esports,saadhak,omen,6,,,,2,,,,,54,1,1
VCT 2026: Americas Stage 1,Group Stage,Week 3,FURIA vs KRÜ Esports,Haven,KRÜ Esports,mwzera,fade,2,2,,,,,,,,69,1,1
VCT 2026: Americas Stage 1,Group Stage,Week 3,FURIA vs KRÜ Esports,Haven,KRÜ Esports,Less,cypher,3,,1,,,,,,,55,0,0
VCT 2026: Americas Stage 1,Group Stage,Week 3,FURIA vs KRÜ Esports,Haven,KRÜ Esports,silentzz,phoenix,2,,,,,,,,,46,3,1
VCT 2026: Americas Stage 1,Group Stage,Week 3,FURIA vs KRÜ Esports,Haven,KRÜ Esports,Dantedeu5,neon,2,1,,,,,,,,37,0,1
VCT 2026: Americas Stage 1,Group Stage,Week 3,NRG vs 100 Thieves,All Maps,Mega Minors,brawk,"sova, vyse",5,1,,,1,1,1,,,46,8,2
VCT 2026: Americas Stage 1,Group Stage,Week 3,NRG vs 100 Thieves,All Maps,Mega Minors,mada,"harbor, neon",9,3,,,,,,,,42,1,1
VCT 2026: Americas Stage 1,Group Stage,Week 3,NRG vs 100 Thieves,All Maps,Mega Minors,skuba,"astra, viper",7,3,,,,1,,,,58,3,1
VCT 2026: Americas Stage 1,Group Stage,Week 3,NRG vs 100 Thieves,All Maps,Mega Minors,Ethan,"fade, kayo, tejo",5,2,2,,,,,,,59,16,0
VCT 2026: Americas Stage 1,Group Stage,Week 3,NRG vs 100 Thieves,All Maps,Mega Minors,keiko,"jett, killjoy, omen",8,5,3,,,,,,,77,1,0
VCT 2026: Americas Stage 1,Group Stage,Week 3,NRG vs 100 Thieves,All Maps,100 Thieves,Asuna,"kayo, neon, sage",7,1,,1,,,,,,52,4,0
VCT 2026: Americas Stage 1,Group Stage,Week 3,NRG vs 100 Thieves,All Maps,100 Thieves,bang,"astra, harbor, omen",7,3,1,,1,,1,,,47,6,1
VCT 2026: Americas Stage 1,Group Stage,Week 3,NRG vs 100 Thieves,All Maps,100 Thieves,Cryocells,"chamber, viper, vyse",8,1,,,1,1,,,,42,0,2
VCT 2026: Americas Stage 1,Group Stage,Week 3,NRG vs 100 Thieves,All Maps,100 Thieves,vora,"fade, sova",7,1,,,,,,,,40,9,0
VCT 2026: Americas Stage 1,Group Stage,Week 3,NRG vs 100 Thieves,All Maps,100 Thieves,Timotino,"jett, phoenix, raze",9,2,,,1,,,,,55,2,1
VCT 2026: Americas Stage 1,Group Stage,Week 3,NRG vs 100 Thieves,Pearl,Mega Minors,brawk,sova,1,1,,,,,1,,,45,1,0
VCT 2026: Americas Stage 1,Group Stage,Week 3,NRG vs 100 Thieves,Pearl,Mega Minors,mada,neon,2,1,,,,,,,,29,0,0
VCT 2026: Americas Stage 1,Group Stage,Week 3,NRG vs 100 Thieves,Pearl,Mega Minors,skuba,astra,2,3,,,,,,,,64,1,0
VCT 2026: Americas Stage 1,Group Stage,Week 3,NRG vs 100 Thieves,Pearl,Mega Minors,Ethan,tejo,2,,,,,,,,,39,5,0
VCT 2026: Americas Stage 1,Group Stage,Week 3,NRG vs 100 Thieves,Pearl,Mega Minors,keiko,killjoy,2,2,,,,,,,,53,1,0
VCT 2026: Americas Stage 1,Group Stage,Week 3,NRG vs 100 Thieves,Pearl,100 Thieves,Asuna,neon,2,1,,1,,,,,,61,0,0
VCT 2026: Americas Stage 1,Group Stage,Week 3,NRG vs 100 Thieves,Pearl,100 Thieves,bang,astra,3,2,,,,,,,,57,4,0
VCT 2026: Americas Stage 1,Group Stage,Week 3,NRG vs 100 Thieves,Pearl,100 Thieves,Cryocells,chamber,5,1,,,1,1,,,,53,0,2
VCT 2026: Americas Stage 1,Group Stage,Week 3,NRG vs 100 Thieves,Pearl,100 Thieves,vora,fade,5,,,,,,,,,46,4,0
VCT 2026: Americas Stage 1,Group Stage,Week 3,NRG vs 100 Thieves,Pearl,100 Thieves,Timotino,phoenix,4,,,,,,,,,55,1,0
VCT 2026: Americas Stage 1,Group Stage,Week 3,NRG vs 100 Thieves,Lotus,Mega Minors,brawk,vyse,1,,,,1,,,,,37,4,1
VCT 2026: Americas Stage 1,Group Stage,Week 3,NRG vs 100 Thieves,Lotus,Mega Minors,mada,neon,5,1,,,,,,,,51,0,1
VCT 2026: Americas Stage 1,Group Stage,Week 3,NRG vs 100 Thieves,Lotus,Mega Minors,skuba,viper,4,,,,,1,,,,63,1,1
VCT 2026: Americas Stage 1,Group Stage,Week 3,NRG vs 100 Thieves,Lotus,Mega Minors,Ethan,fade,3,1,,,,,,,,43,5,0
VCT 2026: Americas Stage 1,Group Stage,Week 3,NRG vs 100 Thieves,Lotus,Mega Minors,keiko,omen,4,1,1,,,,,,,71,0,0
VCT 2026: Americas Stage 1,Group Stage,Week 3,NRG vs 100 Thieves,Lotus,100 Thieves,Asuna,sage,4,,,,,,,,,61,3,0
VCT 2026: Americas Stage 1,Group Stage,Week 3,NRG vs 100 Thieves,Lotus,100 Thieves,bang,omen,3,1,1,,1,,1,,,58,2,1
VCT 2026: Americas Stage 1,Group Stage,Week 3,NRG vs 100 Thieves,Lotus,100 Thieves,Cryocells,vyse,2,,,,,,,,,40,0,0
VCT 2026: Americas Stage 1,Group Stage,Week 3,NRG vs 100 Thieves,Lotus,100 Thieves,vora,sova,2,1,,,,,,,,42,4,0
VCT 2026: Americas Stage 1,Group Stage,Week 3,NRG vs 100 Thieves,Lotus,100 Thieves,Timotino,raze,4,1,,,1,,,,,50,0,1
VCT 2026: Americas Stage 1,Group Stage,Week 3,NRG vs 100 Thieves,Breeze,Mega Minors,brawk,sova,3,,,,,1,,,,57,3,1
VCT 2026: Americas Stage 1,Group Stage,Week 3,NRG vs 100 Thieves,Breeze,Mega Minors,mada,harbor,2,1,,,,,,,,47,1,0
VCT 2026: Americas Stage 1,Group Stage,Week 3,NRG vs 100 Thieves,Breeze,Mega Minors,skuba,viper,1,,,,,,,,,48,1,0
VCT 2026: Americas Stage 1,Group Stage,Week 3,NRG vs 100 Thieves,Breeze,Mega Minors,Ethan,kayo,,1,2,,,,,,,95,6,0
VCT 2026: Americas Stage 1,Group Stage,Week 3,NRG vs 100 Thieves,Breeze,Mega Minors,keiko,jett,2,2,2,,,,,,,108,0,0
VCT 2026: Americas Stage 1,Group Stage,Week 3,NRG vs 100 Thieves,Breeze,100 Thieves,Asuna,kayo,1,,,,,,,,,35,1,0
VCT 2026: Americas Stage 1,Group Stage,Week 3,NRG vs 100 Thieves,Breeze,100 Thieves,bang,harbor,1,,,,,,,,,27,0,0
VCT 2026: Americas Stage 1,Group Stage,Week 3,NRG vs 100 Thieves,Breeze,100 Thieves,Cryocells,viper,1,,,,,,,,,34,0,0
VCT 2026: Americas Stage 1,Group Stage,Week 3,NRG vs 100 Thieves,Breeze,100 Thieves,vora,sova,,,,,,,,,,33,1,0
VCT 2026: Americas Stage 1,Group Stage,Week 3,NRG vs 100 Thieves,Breeze,100 Thieves,Timotino,jett,1,1,,,,,,,,59,1,0
VCT 2026: Americas Stage 1,Group Stage,Week 3,Evil Geniuses vs Sentinels,All Maps,Evil Geniuses,C0M,"skye, sova",6,,,,,1,,,,47,9,1
VCT 2026: Americas Stage 1,Group Stage,Week 3,Evil Geniuses vs Sentinels,All Maps,Evil Geniuses,supamen,viper,3,1,,,,,,,,49,0,0
VCT 2026: Americas Stage 1,Group Stage,Week 3,Evil Geniuses vs Sentinels,All Maps,Evil Geniuses,Okeanos,"omen, waylay",6,1,1,,,1,,,,48,1,2
VCT 2026: Americas Stage 1,Group Stage,Week 3,Evil Geniuses vs Sentinels,All Maps,Evil Geniuses,dgzin,neon,4,1,1,,,,,,,54,0,0
VCT 2026: Americas Stage 1,Group Stage,Week 3,Evil Geniuses vs Sentinels,All Maps,Evil Geniuses,bao,"brimstone, killjoy",4,2,,,1,,,,,52,2,2
VCT 2026: Americas Stage 1,Group Stage,Week 3,Evil Geniuses vs Sentinels,All Maps,Sentinels,johnqt,"harbor, viper",5,2,,,2,,,,,60,9,2
VCT 2026: Americas Stage 1,Group Stage,Week 3,Evil Geniuses vs Sentinels,All Maps,Sentinels,JonahP,"skye, sova",6,1,,,,,,,,55,7,1
VCT 2026: Americas Stage 1,Group Stage,Week 3,Evil Geniuses vs Sentinels,All Maps,Sentinels,cortezia,"killjoy, viper",6,2,,,1,,,,,67,0,2
VCT 2026: Americas Stage 1,Group Stage,Week 3,Evil Geniuses vs Sentinels,All Maps,Sentinels,Reduxx,"omen, raze",6,4,1,,,,,,,54,2,0
VCT 2026: Americas Stage 1,Group Stage,Week 3,Evil Geniuses vs Sentinels,All Maps,Sentinels,Jerrwin,neon,5,3,,,,,,,,49,0,0
VCT 2026: Americas Stage 1,Group Stage,Week 3,Evil Geniuses vs Sentinels,Haven,Evil Geniuses,C0M,sova,4,,,,,1,,,,61,3,1
VCT 2026: Americas Stage 1,Group Stage,Week 3,Evil Geniuses vs Sentinels,Haven,Evil Geniuses,supamen,viper,1,,,,,,,,,37,0,0
VCT 2026: Americas Stage 1,Group Stage,Week 3,Evil Geniuses vs Sentinels,Haven,Evil Geniuses,Okeanos,omen,3,,,,,,,,,42,1,1
VCT 2026: Americas Stage 1,Group Stage,Week 3,Evil Geniuses vs Sentinels,Haven,Evil Geniuses,dgzin,neon,1,1,,,,,,,,60,0,0
VCT 2026: Americas Stage 1,Group Stage,Week 3,Evil Geniuses vs Sentinels,Haven,Evil Geniuses,bao,killjoy,1,2,,,1,,,,,48,0,1
VCT 2026: Americas Stage 1,Group Stage,Week 3,Evil Geniuses vs Sentinels,Haven,Sentinels,johnqt,viper,2,1,,,2,,,,,76,4,1
VCT 2026: Americas Stage 1,Group Stage,Week 3,Evil Geniuses vs Sentinels,Haven,Sentinels,JonahP,sova,2,,,,,,,,,58,4,0
VCT 2026: Americas Stage 1,Group Stage,Week 3,Evil Geniuses vs Sentinels,Haven,Sentinels,cortezia,killjoy,2,,,,,,,,,43,0,1
VCT 2026: Americas Stage 1,Group Stage,Week 3,Evil Geniuses vs Sentinels,Haven,Sentinels,Reduxx,omen,5,3,,,,,,,,65,2,0
VCT 2026: Americas Stage 1,Group Stage,Week 3,Evil Geniuses vs Sentinels,Haven,Sentinels,Jerrwin,neon,,2,,,,,,,,41,0,0
VCT 2026: Americas Stage 1,Group Stage,Week 3,Evil Geniuses vs Sentinels,Bind,Evil Geniuses,C0M,skye,2,,,,,,,,,33,6,0
VCT 2026: Americas Stage 1,Group Stage,Week 3,Evil Geniuses vs Sentinels,Bind,Evil Geniuses,supamen,viper,2,1,,,,,,,,60,0,0
VCT 2026: Americas Stage 1,Group Stage,Week 3,Evil Geniuses vs Sentinels,Bind,Evil Geniuses,Okeanos,waylay,3,1,1,,,1,,,,53,0,1
VCT 2026: Americas Stage 1,Group Stage,Week 3,Evil Geniuses vs Sentinels,Bind,Evil Geniuses,dgzin,neon,3,,1,,,,,,,47,0,0
VCT 2026: Americas Stage 1,Group Stage,Week 3,Evil Geniuses vs Sentinels,Bind,Evil Geniuses,bao,brimstone,3,,,,,,,,,55,2,1
VCT 2026: Americas Stage 1,Group Stage,Week 3,Evil Geniuses vs Sentinels,Bind,Sentinels,johnqt,harbor,3,1,,,,,,,,43,5,1
VCT 2026: Americas Stage 1,Group Stage,Week 3,Evil Geniuses vs Sentinels,Bind,Sentinels,JonahP,skye,4,1,,,,,,,,51,3,1
VCT 2026: Americas Stage 1,Group Stage,Week 3,Evil Geniuses vs Sentinels,Bind,Sentinels,cortezia,viper,4,2,,,1,,,,,90,0,1
VCT 2026: Americas Stage 1,Group Stage,Week 3,Evil Geniuses vs Sentinels,Bind,Sentinels,Reduxx,raze,1,1,1,,,,,,,42,0,0
VCT 2026: Americas Stage 1,Group Stage,Week 3,Evil Geniuses vs Sentinels,Bind,Sentinels,Jerrwin,neon,5,1,,,,,,,,57,0,0
VCT 2026: Americas Stage 1,Group Stage,Week 3,MIBR vs Cloud9,All Maps,MIBR,tex,"astra, vyse",6,1,1,,,,1,,,41,0,1
VCT 2026: Americas Stage 1,Group Stage,Week 3,MIBR vs Cloud9,All Maps,MIBR,zekken,neon,12,1,,,,,,,,45,0,0
VCT 2026: Americas Stage 1,Group Stage,Week 3,MIBR vs Cloud9,All Maps,MIBR,Mazino,"astra, harbor",5,1,,,1,,,,,41,3,3
VCT 2026: Americas Stage 1,Group Stage,Week 3,MIBR vs Cloud9,All Maps,MIBR,aspas,"jett, raze",7,5,,,1,,,,,66,2,1
VCT 2026: Americas Stage 1,Group Stage,Week 3,MIBR vs Cloud9,All Maps,MIBR,Verno,"fade, skye",4,2,,,1,1,,,,52,8,3
VCT 2026: Americas Stage 1,Group Stage,Week 3,MIBR vs Cloud9,All Maps,Cloud9,Zellsis,"harbor, viper",6,1,1,,,3,,,,52,5,2
VCT 2026: Americas Stage 1,Group Stage,Week 3,MIBR vs Cloud9,All Maps,Cloud9,penny,"iso, raze",4,4,2,,,,,,,60,4,3
VCT 2026: Americas Stage 1,Group Stage,Week 3,MIBR vs Cloud9,All Maps,Cloud9,Xeppaa,"skye, sova",6,3,,,1,,,,,49,10,0
VCT 2026: Americas Stage 1,Group Stage,Week 3,MIBR vs Cloud9,All Maps,Cloud9,v1c,"omen, viper",4,4,,,3,,,,,58,2,0
VCT 2026: Americas Stage 1,Group Stage,Week 3,MIBR vs Cloud9,All Maps,Cloud9,OXY,neon,8,2,1,1,,,,,,45,0,0
VCT 2026: Americas Stage 1,Group Stage,Week 3,MIBR vs Cloud9,Breeze,MIBR,tex,astra,4,1,1,,,,1,,,48,0,1
VCT 2026: Americas Stage 1,Group Stage,Week 3,MIBR vs Cloud9,Breeze,MIBR,zekken,neon,3,1,,,,,,,,37,0,0
VCT 2026: Americas Stage 1,Group Stage,Week 3,MIBR vs Cloud9,Breeze,MIBR,Mazino,harbor,2,1,,,1,,,,,40,3,2
VCT 2026: Americas Stage 1,Group Stage,Week 3,MIBR vs Cloud9,Breeze,MIBR,aspas,jett,3,2,,,,,,,,56,0,0
VCT 2026: Americas Stage 1,Group Stage,Week 3,MIBR vs Cloud9,Breeze,MIBR,Verno,skye,2,,,,1,1,,,,54,2,2
VCT 2026: Americas Stage 1,Group Stage,Week 3,MIBR vs Cloud9,Breeze,Cloud9,Zellsis,harbor,5,1,1,,,2,,,,61,4,1
VCT 2026: Americas Stage 1,Group Stage,Week 3,MIBR vs Cloud9,Breeze,Cloud9,penny,iso,2,1,,,,,,,,50,3,1
VCT 2026: Americas Stage 1,Group Stage,Week 3,MIBR vs Cloud9,Breeze,Cloud9,Xeppaa,sova,5,,,,1,,,,,49,4,0
VCT 2026: Americas Stage 1,Group Stage,Week 3,MIBR vs Cloud9,Breeze,Cloud9,v1c,viper,1,2,,,,,,,,51,0,0
VCT 2026: Americas Stage 1,Group Stage,Week 3,MIBR vs Cloud9,Breeze,Cloud9,OXY,neon,6,2,,1,,,,,,59,0,0
VCT 2026: Americas Stage 1,Group Stage,Week 3,MIBR vs Cloud9,Split,MIBR,tex,vyse,2,,,,,,,,,34,0,0
VCT 2026: Americas Stage 1,Group Stage,Week 3,MIBR vs Cloud9,Split,MIBR,zekken,neon,9,,,,,,,,,53,0,0
VCT 2026: Americas Stage 1,Group Stage,Week 3,MIBR vs Cloud9,Split,MIBR,Mazino,astra,3,,,,,,,,,41,0,1
VCT 2026: Americas Stage 1,Group Stage,Week 3,MIBR vs Cloud9,Split,MIBR,aspas,raze,4,3,,,1,,,,,75,2,1
VCT 2026: Americas Stage 1,Group Stage,Week 3,MIBR vs Cloud9,Split,MIBR,Verno,fade,2,2,,,,,,,,50,6,1
VCT 2026: Americas Stage 1,Group Stage,Week 3,MIBR vs Cloud9,Split,Cloud9,Zellsis,viper,1,,,,,1,,,,43,1,1
VCT 2026: Americas Stage 1,Group Stage,Week 3,MIBR vs Cloud9,Split,Cloud9,penny,raze,2,3,2,,,,,,,70,1,2
VCT 2026: Americas Stage 1,Group Stage,Week 3,MIBR vs Cloud9,Split,Cloud9,Xeppaa,skye,1,3,,,,,,,,48,6,0
VCT 2026: Americas Stage 1,Group Stage,Week 3,MIBR vs Cloud9,Split,Cloud9,v1c,omen,3,2,,,3,,,,,64,2,0
VCT 2026: Americas Stage 1,Group Stage,Week 3,MIBR vs Cloud9,Split,Cloud9,OXY,neon,2,,1,,,,,,,31,0,0
VCT 2026: Americas Stage 1,Group Stage,Week 4,Evil Geniuses vs NRG,All Maps,Evil Geniuses,C0M,"fade, sova",3,,,,,,,,,55,8,0
VCT 2026: Americas Stage 1,Group Stage,Week 4,Evil Geniuses vs NRG,All Maps,Evil Geniuses,supamen,"astra, brimstone",6,,,,1,,,,,49,2,0
VCT 2026: Americas Stage 1,Group Stage,Week 4,Evil Geniuses vs NRG,All Maps,Evil Geniuses,Okeanos,"neon, phoenix",6,,1,,,,,,,43,0,0
VCT 2026: Americas Stage 1,Group Stage,Week 4,Evil Geniuses vs NRG,All Maps,Evil Geniuses,dgzin,"chamber, neon",5,2,,,,1,,,,43,0,3
VCT 2026: Americas Stage 1,Group Stage,Week 4,Evil Geniuses vs NRG,All Maps,Evil Geniuses,bao,"breach, vyse",8,2,,,,,,,,59,5,0
VCT 2026: Americas Stage 1,Group Stage,Week 4,Evil Geniuses vs NRG,All Maps,Mega Minors,brawk,"brimstone, sova",4,2,1,,1,,,,,56,8,0
VCT 2026: Americas Stage 1,Group Stage,Week 4,Evil Geniuses vs NRG,All Maps,Mega Minors,mada,"neon, waylay",7,3,1,,,1,,,,63,3,1
VCT 2026: Americas Stage 1,Group Stage,Week 4,Evil Geniuses vs NRG,All Maps,Mega Minors,skuba,"astra, cypher",4,1,,,,,,,,43,0,0
VCT 2026: Americas Stage 1,Group Stage,Week 4,Evil Geniuses vs NRG,All Maps,Mega Minors,Ethan,"fade, tejo",5,4,,1,1,,,,,59,5,4
VCT 2026: Americas Stage 1,Group Stage,Week 4,Evil Geniuses vs NRG,All Maps,Mega Minors,keiko,"killjoy, phoenix",3,2,,,,1,,,,39,2,1
VCT 2026: Americas Stage 1,Group Stage,Week 4,Evil Geniuses vs NRG,Fracture,Evil Geniuses,C0M,sova,,,,,,,,,,47,3,0
VCT 2026: Americas Stage 1,Group Stage,Week 4,Evil Geniuses vs NRG,Fracture,Evil Geniuses,supamen,brimstone,2,,,,,,,,,50,1,0
VCT 2026: Americas Stage 1,Group Stage,Week 4,Evil Geniuses vs NRG,Fracture,Evil Geniuses,Okeanos,neon,2,,1,,,,,,,39,0,0
VCT 2026: Americas Stage 1,Group Stage,Week 4,Evil Geniuses vs NRG,Fracture,Evil Geniuses,dgzin,chamber,4,2,,,,1,,,,50,0,1
VCT 2026: Americas Stage 1,Group Stage,Week 4,Evil Geniuses vs NRG,Fracture,Evil Geniuses,bao,breach,4,1,,,,,,,,47,2,0
VCT 2026: Americas Stage 1,Group Stage,Week 4,Evil Geniuses vs NRG,Fracture,Mega Minors,brawk,brimstone,2,1,,,,,,,,54,6,0
VCT 2026: Americas Stage 1,Group Stage,Week 4,Evil Geniuses vs NRG,Fracture,Mega Minors,mada,waylay,3,2,1,,,1,,,,72,3,0
VCT 2026: Americas Stage 1,Group Stage,Week 4,Evil Geniuses vs NRG,Fracture,Mega Minors,skuba,cypher,3,1,,,,,,,,50,0,0
VCT 2026: Americas Stage 1,Group Stage,Week 4,Evil Geniuses vs NRG,Fracture,Mega Minors,Ethan,fade,2,1,,1,,,,,,54,1,1
VCT 2026: Americas Stage 1,Group Stage,Week 4,Evil Geniuses vs NRG,Fracture,Mega Minors,keiko,phoenix,2,1,,,,,,,,44,0,0
VCT 2026: Americas Stage 1,Group Stage,Week 4,Evil Geniuses vs NRG,Pearl,Evil Geniuses,C0M,fade,3,,,,,,,,,63,5,0
VCT 2026: Americas Stage 1,Group Stage,Week 4,Evil Geniuses vs NRG,Pearl,Evil Geniuses,supamen,astra,4,,,,1,,,,,47,1,0
VCT 2026: Americas Stage 1,Group Stage,Week 4,Evil Geniuses vs NRG,Pearl,Evil Geniuses,Okeanos,phoenix,4,,,,,,,,,47,0,0
VCT 2026: Americas Stage 1,Group Stage,Week 4,Evil Geniuses vs NRG,Pearl,Evil Geniuses,dgzin,neon,1,,,,,,,,,35,0,2
VCT 2026: Americas Stage 1,Group Stage,Week 4,Evil Geniuses vs NRG,Pearl,Evil Geniuses,bao,vyse,4,1,,,,,,,,70,3,0
VCT 2026: Americas Stage 1,Group Stage,Week 4,Evil Geniuses vs NRG,Pearl,Mega Minors,brawk,sova,2,1,1,,1,,,,,58,2,0
VCT 2026: Americas Stage 1,Group Stage,Week 4,Evil Geniuses vs NRG,Pearl,Mega Minors,mada,neon,4,1,,,,,,,,53,0,1
VCT 2026: Americas Stage 1,Group Stage,Week 4,Evil Geniuses vs NRG,Pearl,Mega Minors,skuba,astra,1,,,,,,,,,35,0,0
VCT 2026: Americas Stage 1,Group Stage,Week 4,Evil Geniuses vs NRG,Pearl,Mega Minors,Ethan,tejo,3,3,,,1,,,,,64,4,3
VCT 2026: Americas Stage 1,Group Stage,Week 4,Evil Geniuses vs NRG,Pearl,Mega Minors,keiko,killjoy,1,1,,,,1,,,,33,2,1
VCT 2026: Americas Stage 1,Group Stage,Week 4,LEVIATÁN vs MIBR,All Maps,LEVIATÁN,kiNgg,"astra, harbor",3,2,,,,,,,,38,8,1
VCT 2026: Americas Stage 1,Group Stage,Week 4,LEVIATÁN vs MIBR,All Maps,LEVIATÁN,blowz,sova,3,1,,,,,,,,50,5,1
VCT 2026: Americas Stage 1,Group Stage,Week 4,LEVIATÁN vs MIBR,All Maps,LEVIATÁN,Sato,"omen, phoenix",7,1,,,,,,,,43,0,1
VCT 2026: Americas Stage 1,Group Stage,Week 4,LEVIATÁN vs MIBR,All Maps,LEVIATÁN,spike,neon,4,2,,,,,,,,47,1,0
