Tournament,Stage,Match Type,Match Name,Map,Round Number,Team,Method,Outcome
VCT 2026: EMEA Stage 1,Playoffs,Lower Final,FUT Esports vs Team Heretics,Haven,25,FUT Esports,Elimination,Win
VCT 2026: EMEA Stage 1,Playoffs,Lower Final,FUT Esports vs Team Heretics,Haven,25,Team Heretics,Eliminated,Loss
VCT 2026: EMEA Stage 1,Playoffs,Lower Final,FUT Esports vs Team Heretics,Haven,26,Team Heretics,Elimination,Win
VCT 2026: EMEA Stage 1,Playoffs,Lower Final,FUT Esports vs Team Heretics,Haven,26,FUT Esports,Eliminated,Loss
VCT 2026: EMEA Stage 1,Playoffs,Lower Final,FUT Esports vs Team Heretics,Haven,27,FUT Esports,Elimination,Win
VCT 2026: EMEA Stage 1,Playoffs,Lower Final,FUT Esports vs Team Heretics,Haven,27,Team Heretics,Eliminated,Loss
VCT 2026: EMEA Stage 1,Playoffs,Lower Final,FUT Esports vs Team Heretics,Haven,28,FUT Esports,Elimination,Win
VCT 2026: EMEA Stage 1,Playoffs,Lower Final,FUT Esports vs Team Heretics,Haven,28,Team Heretics,Eliminated,Loss
VCT 2026: EMEA Stage 1,Playoffs,Lower Final,FUT Esports vs Team Heretics,Lotus,1,Team Heretics,Elimination,Win
VCT 2026: EMEA Stage 1,Playoffs,Lower Final,FUT Esports vs Team Heretics,Lotus,1,FUT Esports,Eliminated,Loss
VCT 2026: EMEA Stage 1,Playoffs,Lower Final,FUT Esports vs Team Heretics,Lotus,2,Team Heretics,Elimination,Win
VCT 2026: EMEA Stage 1,Playoffs,Lower Final,FUT Esports vs Team Heretics,Lotus,2,FUT Esports,Eliminated,Loss
VCT 2026: EMEA Stage 1,Playoffs,Lower Final,FUT Esports vs Team Heretics,Lotus,3,Team Heretics,Elimination,Win
VCT 2026: EMEA Stage 1,Playoffs,Lower Final,FUT Esports vs Team Heretics,Lotus,3,FUT Esports,Eliminated,Loss
VCT 2026: EMEA Stage 1,Playoffs,Lower Final,FUT Esports vs Team Heretics,Lotus,4,Team Heretics,Elimination,Win
VCT 2026: EMEA Stage 1,Playoffs,Lower Final,FUT Esports vs Team Heretics,Lotus,4,FUT Esports,Eliminated,Loss
VCT 2026: EMEA Stage 1,Playoffs,Lower Final,FUT Esports vs Team Heretics,Lotus,5,FUT Esports,Elimination,Win
VCT 2026: EMEA Stage 1,Playoffs,Lower Final,FUT Esports vs Team Heretics,Lotus,5,Team Heretics,Eliminated,Loss
VCT 2026: EMEA Stage 1,Playoffs,Lower Final,FUT Esports vs Team Heretics,Lotus,6,Team Heretics,Defused,Win
VCT 2026: EMEA Stage 1,Playoffs,Lower Final,FUT Esports vs Team Heretics,Lotus,6,FUT Esports,Detonated Denied,Loss
VCT 2026: EMEA Stage 1,Playoffs,Lower Final,FUT Esports vs Team Heretics,Lotus,7,Team Heretics,Elimination,Win
VCT 2026: EMEA Stage 1,Playoffs,Lower Final,FUT Esports vs Team Heretics,Lotus,7,FUT Esports,Eliminated,Loss
VCT 2026: EMEA Stage 1,Playoffs,Lower Final,FUT Esports vs Team Heretics,Lotus,8,Team Heretics,Elimination,Win
VCT 2026: EMEA Stage 1,Playoffs,Lower Final,FUT Esports vs Team Heretics,Lotus,8,FUT Esports,Eliminated,Loss
VCT 2026: EMEA Stage 1,Playoffs,Lower Final,FUT Esports vs Team Heretics,Lotus,9,FUT Esports,Elimination,Win
VCT 2026: EMEA Stage 1,Playoffs,Lower Final,FUT Esports vs Team Heretics,Lotus,9,Team Heretics,Eliminated,Loss
VCT 2026: EMEA Stage 1,Playoffs,Lower Final,FUT Esports vs Team Heretics,Lotus,10,Team Heretics,Defused,Win
VCT 2026: EMEA Stage 1,Playoffs,Lower Final,FUT Esports vs Team Heretics,Lotus,10,FUT Esports,Detonated Denied,Loss
VCT 2026: EMEA Stage 1,Playoffs,Lower Final,FUT Esports vs Team Heretics,Lotus,11,FUT Esports,Elimination,Win
VCT 2026: EMEA Stage 1,Playoffs,Lower Final,FUT Esports vs Team Heretics,Lotus,11,Team Heretics,Eliminated,Loss
VCT 2026: EMEA Stage 1,Playoffs,Lower Final,FUT Esports vs Team Heretics,Lotus,12,Team Heretics,Elimination,Win
VCT 2026: EMEA Stage 1,Playoffs,Lower Final,FUT Esports vs Team Heretics,Lotus,12,FUT Esports,Eliminated,Loss
VCT 2026: EMEA Stage 1,Playoffs,Lower Final,FUT Esports vs Team Heretics,Lotus,13,Team Heretics,Elimination,Win
VCT 2026: EMEA Stage 1,Playoffs,Lower Final,FUT Esports vs Team Heretics,Lotus,13,FUT Esports,Eliminated,Loss
VCT 2026: EMEA Stage 1,Playoffs,Lower Final,FUT Esports vs Team Heretics,Lotus,14,Team Heretics,Elimination,Win
VCT 2026: EMEA Stage 1,Playoffs,Lower Final,FUT Esports vs Team Heretics,Lotus,14,FUT Esports,Eliminated,Loss
VCT 2026: EMEA Stage 1,Playoffs,Lower Final,FUT Esports vs Team Heretics,Lotus,15,Team Heretics,Elimination,Win
VCT 2026: EMEA Stage 1,Playoffs,Lower Final,FUT Esports vs Team Heretics,Lotus,15,FUT Esports,Eliminated,Loss
VCT 2026: EMEA Stage 1,Playoffs,Lower Final,FUT Esports vs Team Heretics,Lotus,16,FUT Esports,Defused,Win
VCT 2026: EMEA Stage 1,Playoffs,Lower Final,FUT Esports vs Team Heretics,Lotus,16,Team Heretics,Detonated Denied,Loss
VCT 2026: EMEA Stage 1,Playoffs,Lower Final,FUT Esports vs Team Heretics,Lotus,17,Team Heretics,Elimination,Win
VCT 2026: EMEA Stage 1,Playoffs,Lower Final,FUT Esports vs Team Heretics,Lotus,17,FUT Esports,Eliminated,Loss
VCT 2026: EMEA Stage 1,Playoffs,Lower Final,FUT Esports vs Team Heretics,Ascent,1,FUT Esports,Elimination,Win
VCT 2026: EMEA Stage 1,Playoffs,Lower Final,FUT Esports vs Team Heretics,Ascent,1,Team Heretics,Eliminated,Loss
VCT 2026: EMEA Stage 1,Playoffs,Lower Final,FUT Esports vs Team Heretics,Ascent,2,FUT Esports,Detonated,Win
VCT 2026: EMEA Stage 1,Playoffs,Lower Final,FUT Esports vs Team Heretics,Ascent,2,Team Heretics,Failed Defused,Loss
VCT 2026: EMEA Stage 1,Playoffs,Lower Final,FUT Esports vs Team Heretics,Ascent,3,Team Heretics,Elimination,Win
VCT 2026: EMEA Stage 1,Playoffs,Lower Final,FUT Esports vs Team Heretics,Ascent,3,FUT Esports,Eliminated,Loss
VCT 2026: EMEA Stage 1,Playoffs,Lower Final,FUT Esports vs Team Heretics,Ascent,4,Team Heretics,Time Expiry (No Plant),Win
VCT 2026: EMEA Stage 1,Playoffs,Lower Final,FUT Esports vs Team Heretics,Ascent,4,FUT Esports,Time Expiry (Failed to Plant),Loss
VCT 2026: EMEA Stage 1,Playoffs,Lower Final,FUT Esports vs Team Heretics,Ascent,5,Team Heretics,Elimination,Win
VCT 2026: EMEA Stage 1,Playoffs,Lower Final,FUT Esports vs Team Heretics,Ascent,5,FUT Esports,Eliminated,Loss
VCT 2026: EMEA Stage 1,Playoffs,Lower Final,FUT Esports vs Team Heretics,Ascent,6,FUT Esports,Elimination,Win
VCT 2026: EMEA Stage 1,Playoffs,Lower Final,FUT Esports vs Team Heretics,Ascent,6,Team Heretics,Eliminated,Loss
VCT 2026: EMEA Stage 1,Playoffs,Lower Final,FUT Esports vs Team Heretics,Ascent,7,FUT Esports,Detonated,Win
VCT 2026: EMEA Stage 1,Playoffs,Lower Final,FUT Esports vs Team Heretics,Ascent,7,Team Heretics,Failed Defused,Loss
VCT 2026: EMEA Stage 1,Playoffs,Lower Final,FUT Esports vs Team Heretics,Ascent,8,Team Heretics,Defused,Win
VCT 2026: EMEA Stage 1,Playoffs,Lower Final,FUT Esports vs Team Heretics,Ascent,8,FUT Esports,Detonated Denied,Loss
VCT 2026: EMEA Stage 1,Playoffs,Lower Final,FUT Esports vs Team Heretics,Ascent,9,Team Heretics,Elimination,Win
VCT 2026: EMEA Stage 1,Playoffs,Lower Final,FUT Esports vs Team Heretics,Ascent,9,FUT Esports,Eliminated,Loss
VCT 2026: EMEA Stage 1,Playoffs,Lower Final,FUT Esports vs Team Heretics,Ascent,10,Team Heretics,Elimination,Win
VCT 2026: EMEA Stage 1,Playoffs,Lower Final,FUT Esports vs Team Heretics,Ascent,10,FUT Esports,Eliminated,Loss
VCT 2026: EMEA Stage 1,Playoffs,Lower Final,FUT Esports vs Team Heretics,Ascent,11,Team Heretics,Defused,Win
VCT 2026: EMEA Stage 1,Playoffs,Lower Final,FUT Esports vs Team Heretics,Ascent,11,FUT Esports,Detonated Denied,Loss
VCT 2026: EMEA Stage 1,Playoffs,Lower Final,FUT Esports vs Team Heretics,Ascent,12,Team Heretics,Elimination,Win
VCT 2026: EMEA Stage 1,Playoffs,Lower Final,FUT Esports vs Team Heretics,Ascent,12,FUT Esports,Eliminated,Loss
VCT 2026: EMEA Stage 1,Playoffs,Lower Final,FUT Esports vs Team Heretics,Ascent,13,Team Heretics,Elimination,Win
VCT 2026: EMEA Stage 1,Playoffs,Lower Final,FUT Esports vs Team Heretics,Ascent,13,FUT Esports,Eliminated,Loss
VCT 2026: EMEA Stage 1,Playoffs,Lower Final,FUT Esports vs Team Heretics,Ascent,14,Team Heretics,Elimination,Win
VCT 2026: EMEA Stage 1,Playoffs,Lower Final,FUT Esports vs Team Heretics,Ascent,14,FUT Esports,Eliminated,Loss
VCT 2026: EMEA Stage 1,Playoffs,Lower Final,FUT Esports vs Team Heretics,Ascent,15,Team Heretics,Elimination,Win
VCT 2026: EMEA Stage 1,Playoffs,Lower Final,FUT Esports vs Team Heretics,Ascent,15,FUT Esports,Eliminated,Loss
VCT 2026: EMEA Stage 1,Playoffs,Lower Final,FUT Esports vs Team Heretics,Ascent,16,Team Heretics,Elimination,Win
VCT 2026: EMEA Stage 1,Playoffs,Lower Final,FUT Esports vs Team Heretics,Ascent,16,FUT Esports,Eliminated,Loss
VCT 2026: EMEA Stage 1,Playoffs,Lower Final,FUT Esports vs Team Heretics,Ascent,17,FUT Esports,Defused,Win
VCT 2026: EMEA Stage 1,Playoffs,Lower Final,FUT Esports vs Team Heretics,Ascent,17,Team Heretics,Detonated Denied,Loss
VCT 2026: EMEA Stage 1,Playoffs,Lower Final,FUT Esports vs Team Heretics,Ascent,18,FUT Esports,Elimination,Win
VCT 2026: EMEA Stage 1,Playoffs,Lower Final,FUT Esports vs Team Heretics,Ascent,18,Team Heretics,Eliminated,Loss
VCT 2026: EMEA Stage 1,Playoffs,Lower Final,FUT Esports vs Team Heretics,Ascent,19,Team Heretics,Elimination,Win
VCT 2026: EMEA Stage 1,Playoffs,Lower Final,FUT Esports vs Team Heretics,Ascent,19,FUT Esports,Eliminated,Loss
VCT 2026: EMEA Stage 1,Playoffs,Lower Final,FUT Esports vs Team Heretics,Breeze,1,Team Heretics,Elimination,Win
VCT 2026: EMEA Stage 1,Playoffs,Lower Final,FUT Esports vs Team Heretics,Breeze,1,FUT Esports,Eliminated,Loss
VCT 2026: EMEA Stage 1,Playoffs,Lower Final,FUT Esports vs Team Heretics,Breeze,2,Team Heretics,Elimination,Win
VCT 2026: EMEA Stage 1,Playoffs,Lower Final,FUT Esports vs Team Heretics,Breeze,2,FUT Esports,Eliminated,Loss
VCT 2026: EMEA Stage 1,Playoffs,Lower Final,FUT Esports vs Team Heretics,Breeze,3,Team Heretics,Elimination,Win
VCT 2026: EMEA Stage 1,Playoffs,Lower Final,FUT Esports vs Team Heretics,Breeze,3,FUT Esports,Eliminated,Loss
VCT 2026: EMEA Stage 1,Playoffs,Lower Final,FUT Esports vs Team Heretics,Breeze,4,Team Heretics,Elimination,Win
VCT 2026: EMEA Stage 1,Playoffs,Lower Final,FUT Esports vs Team Heretics,Breeze,4,FUT Esports,Eliminated,Loss
VCT 2026: EMEA Stage 1,Playoffs,Lower Final,FUT Esports vs Team Heretics,Breeze,5,Team Heretics,Elimination,Win
VCT 2026: EMEA Stage 1,Playoffs,Lower Final,FUT Esports vs Team Heretics,Breeze,5,FUT Esports,Eliminated,Loss
VCT 2026: EMEA Stage 1,Playoffs,Lower Final,FUT Esports vs Team Heretics,Breeze,6,FUT Esports,Elimination,Win
VCT 2026: EMEA Stage 1,Playoffs,Lower Final,FUT Esports vs Team Heretics,Breeze,6,Team Heretics,Eliminated,Loss
VCT 2026: EMEA Stage 1,Playoffs,Lower Final,FUT Esports vs Team Heretics,Breeze,7,Team Heretics,Elimination,Win
VCT 2026: EMEA Stage 1,Playoffs,Lower Final,FUT Esports vs Team Heretics,Breeze,7,FUT Esports,Eliminated,Loss
VCT 2026: EMEA Stage 1,Playoffs,Lower Final,FUT Esports vs Team Heretics,Breeze,8,Team Heretics,Detonated,Win
VCT 2026: EMEA Stage 1,Playoffs,Lower Final,FUT Esports vs Team Heretics,Breeze,8,FUT Esports,Failed Defused,Loss
VCT 2026: EMEA Stage 1,Playoffs,Lower Final,FUT Esports vs Team Heretics,Breeze,9,Team Heretics,Elimination,Win
VCT 2026: EMEA Stage 1,Playoffs,Lower Final,FUT Esports vs Team Heretics,Breeze,9,FUT Esports,Eliminated,Loss
VCT 2026: EMEA Stage 1,Playoffs,Lower Final,FUT Esports vs Team Heretics,Breeze,10,Team Heretics,Elimination,Win
VCT 2026: EMEA Stage 1,Playoffs,Lower Final,FUT Esports vs Team Heretics,Breeze,10,FUT Esports,Eliminated,Loss
VCT 2026: EMEA Stage 1,Playoffs,Lower Final,FUT Esports vs Team Heretics,Breeze,11,Team Heretics,Elimination,Win
VCT 2026: EMEA Stage 1,Playoffs,Lower Final,FUT Esports vs Team Heretics,Breeze,11,FUT Esports,Eliminated,Loss
VCT 2026: EMEA Stage 1,Playoffs,Lower Final,FUT Esports vs Team Heretics,Breeze,12,Team Heretics,Elimination,Win
VCT 2026: EMEA Stage 1,Playoffs,Lower Final,FUT Esports vs Team Heretics,Breeze,12,FUT Esports,Eliminated,Loss
VCT 2026: EMEA Stage 1,Playoffs,Lower Final,FUT Esports vs Team Heretics,Breeze,13,Team Heretics,Elimination,Win
VCT 2026: EMEA Stage 1,Playoffs,Lower Final,FUT Esports vs Team Heretics,Breeze,13,FUT Esports,Eliminated,Loss
VCT 2026: EMEA Stage 1,Playoffs,Lower Final,FUT Esports vs Team Heretics,Breeze,14,Team Heretics,Defused,Win
VCT 2026: EMEA Stage 1,Playoffs,Lower Final,FUT Esports vs Team Heretics,Breeze,14,FUT Esports,Detonated Denied,Loss
VCT 2026: EMEA Stage 1,Playoffs,Grand Final,Team Vitality vs Team Heretics,Breeze,1,Team Heretics,Elimination,Win
VCT 2026: EMEA Stage 1,Playoffs,Grand Final,Team Vitality vs Team Heretics,Breeze,1,Team Vitality,Eliminated,Loss
VCT 2026: EMEA Stage 1,Playoffs,Grand Final,Team Vitality vs Team Heretics,Breeze,2,Team Heretics,Elimination,Win
VCT 2026: EMEA Stage 1,Playoffs,Grand Final,Team Vitality vs Team Heretics,Breeze,2,Team Vitality,Eliminated,Loss
VCT 2026: EMEA Stage 1,Playoffs,Grand Final,Team Vitality vs Team Heretics,Breeze,3,Team Heretics,Elimination,Win
VCT 2026: EMEA Stage 1,Playoffs,Grand Final,Team Vitality vs Team Heretics,Breeze,3,Team Vitality,Eliminated,Loss
VCT 2026: EMEA Stage 1,Playoffs,Grand Final,Team Vitality vs Team Heretics,Breeze,4,Team Vitality,Time Expiry (No Plant),Win
VCT 2026: EMEA Stage 1,Playoffs,Grand Final,Team Vitality vs Team Heretics,Breeze,4,Team Heretics,Time Expiry (Failed to Plant),Loss
VCT 2026: EMEA Stage 1,Playoffs,Grand Final,Team Vitality vs Team Heretics,Breeze,5,Team Heretics,Detonated,Win
VCT 2026: EMEA Stage 1,Playoffs,Grand Final,Team Vitality vs Team Heretics,Breeze,5,Team Vitality,Failed Defused,Loss
VCT 2026: EMEA Stage 1,Playoffs,Grand Final,Team Vitality vs Team Heretics,Breeze,6,Team Heretics,Detonated,Win
VCT 2026: EMEA Stage 1,Playoffs,Grand Final,Team Vitality vs Team Heretics,Breeze,6,Team Vitality,Failed Defused,Loss
VCT 2026: EMEA Stage 1,Playoffs,Grand Final,Team Vitality vs Team Heretics,Breeze,7,Team Vitality,Time Expiry (No Plant),Win
VCT 2026: EMEA Stage 1,Playoffs,Grand Final,Team Vitality vs Team Heretics,Breeze,7,Team Heretics,Time Expiry (Failed to Plant),Loss
VCT 2026: EMEA Stage 1,Playoffs,Grand Final,Team Vitality vs Team Heretics,Breeze,8,Team Vitality,Defused,Win
VCT 2026: EMEA Stage 1,Playoffs,Grand Final,Team Vitality vs Team Heretics,Breeze,8,Team Heretics,Detonated Denied,Loss
VCT 2026: EMEA Stage 1,Playoffs,Grand Final,Team Vitality vs Team Heretics,Breeze,9,Team Vitality,Elimination,Win
VCT 2026: EMEA Stage 1,Playoffs,Grand Final,Team Vitality vs Team Heretics,Breeze,9,Team Heretics,Eliminated,Loss
VCT 2026: EMEA Stage 1,Playoffs,Grand Final,Team Vitality vs Team Heretics,Breeze,10,Team Heretics,Elimination,Win
VCT 2026: EMEA Stage 1,Playoffs,Grand Final,Team Vitality vs Team Heretics,Breeze,10,Team Vitality,Eliminated,Loss
VCT 2026: EMEA Stage 1,Playoffs,Grand Final,Team Vitality vs Team Heretics,Breeze,11,Team Heretics,Elimination,Win
VCT 2026: EMEA Stage 1,Playoffs,Grand Final,Team Vitality vs Team Heretics,Breeze,11,Team Vitality,Eliminated,Loss
VCT 2026: EMEA Stage 1,Playoffs,Grand Final,Team Vitality vs Team Heretics,Breeze,12,Team Vitality,Defused,Win
VCT 2026: EMEA Stage 1,Playoffs,Grand Final,Team Vitality vs Team Heretics,Breeze,12,Team Heretics,Detonated Denied,Loss
VCT 2026: EMEA Stage 1,Playoffs,Grand Final,Team Vitality vs Team Heretics,Breeze,13,Team Vitality,Elimination,Win
VCT 2026: EMEA Stage 1,Playoffs,Grand Final,Team Vitality vs Team Heretics,Breeze,13,Team Heretics,Eliminated,Loss
VCT 2026: EMEA Stage 1,Playoffs,Grand Final,Team Vitality vs Team Heretics,Breeze,14,Team Vitality,Elimination,Win
VCT 2026: EMEA Stage 1,Playoffs,Grand Final,Team Vitality vs Team Heretics,Breeze,14,Team Heretics,Eliminated,Loss
VCT 2026: EMEA Stage 1,Playoffs,Grand Final,Team Vitality vs Team Heretics,Breeze,15,Team Heretics,Elimination,Win
VCT 2026: EMEA Stage 1,Playoffs,Grand Final,Team Vitality vs Team Heretics,Breeze,15,Team Vitality,Eliminated,Loss
VCT 2026: EMEA Stage 1,Playoffs,Grand Final,Team Vitality vs Team Heretics,Breeze,16,Team Heretics,Defused,Win
VCT 2026: EMEA Stage 1,Playoffs,Grand Final,Team Vitality vs Team Heretics,Breeze,16,Team Vitality,Detonated Denied,Loss
VCT 2026: EMEA Stage 1,Playoffs,Grand Final,Team Vitality vs Team Heretics,Breeze,17,Team Heretics,Defused,Win
VCT 2026: EMEA Stage 1,Playoffs,Grand Final,Team Vitality vs Team Heretics,Breeze,17,Team Vitality,Detonated Denied,Loss
VCT 2026: EMEA Stage 1,Playoffs,Grand Final,Team Vitality vs Team Heretics,Breeze,18,Team Vitality,Elimination,Win
VCT 2026: EMEA Stage 1,Playoffs,Grand Final,Team Vitality vs Team Heretics,Breeze,18,Team Heretics,Eliminated,Loss
VCT 2026: EMEA Stage 1,Playoffs,Grand Final,Team Vitality vs Team Heretics,Breeze,19,Team Vitality,Elimination,Win
VCT 2026: EMEA Stage 1,Playoffs,Grand Final,Team Vitality vs Team Heretics,Breeze,19,Team Heretics,Eliminated,Loss
VCT 2026: EMEA Stage 1,Playoffs,Grand Final,Team Vitality vs Team Heretics,Breeze,20,Team Vitality,Elimination,Win
VCT 2026: EMEA Stage 1,Playoffs,Grand Final,Team Vitality vs Team Heretics,Breeze,20,Team Heretics,Eliminated,Loss
VCT 2026: EMEA Stage 1,Playoffs,Grand Final,Team Vitality vs Team Heretics,Breeze,21,Team Vitality,Elimination,Win
VCT 2026: EMEA Stage 1,Playoffs,Grand Final,Team Vitality vs Team Heretics,Breeze,21,Team Heretics,Eliminated,Loss
VCT 2026: EMEA Stage 1,Playoffs,Grand Final,Team Vitality vs Team Heretics,Breeze,22,Team Vitality,Elimination,Win
VCT 2026: EMEA Stage 1,Playoffs,Grand Final,Team Vitality vs Team Heretics,Breeze,22,Team Heretics,Eliminated,Loss
VCT 2026: EMEA Stage 1,Playoffs,Grand Final,Team Vitality vs Team Heretics,Breeze,23,Team Vitality,Elimination,Win
VCT 2026: EMEA Stage 1,Playoffs,Grand Final,Team Vitality vs Team Heretics,Breeze,23,Team Heretics,Eliminated,Loss
VCT 2026: EMEA Stage 1,Playoffs,Grand Final,Team Vitality vs Team Heretics,Lotus,1,Team Heretics,Elimination,Win
VCT 2026: EMEA Stage 1,Playoffs,Grand Final,Team Vitality vs Team Heretics,Lotus,1,Team Vitality,Eliminated,Loss
VCT 2026: EMEA Stage 1,Playoffs,Grand Final,Team Vitality vs Team Heretics,Lotus,2,Team Heretics,Defused,Win
VCT 2026: EMEA Stage 1,Playoffs,Grand Final,Team Vitality vs Team Heretics,Lotus,2,Team Vitality,Detonated Denied,Loss
VCT 2026: EMEA Stage 1,Playoffs,Grand Final,Team Vitality vs Team Heretics,Lotus,3,Team Vitality,Elimination,Win
VCT 2026: EMEA Stage 1,Playoffs,Grand Final,Team Vitality vs Team Heretics,Lotus,3,Team Heretics,Eliminated,Loss
VCT 2026: EMEA Stage 1,Playoffs,Grand Final,Team Vitality vs Team Heretics,Lotus,4,Team Heretics,Defused,Win
VCT 2026: EMEA Stage 1,Playoffs,Grand Final,Team Vitality vs Team Heretics,Lotus,4,Team Vitality,Detonated Denied,Loss
VCT 2026: EMEA Stage 1,Playoffs,Grand Final,Team Vitality vs Team Heretics,Lotus,5,Team Vitality,Detonated,Win
VCT 2026: EMEA Stage 1,Playoffs,Grand Final,Team Vitality vs Team Heretics,Lotus,5,Team Heretics,Failed Defused,Loss
VCT 2026: EMEA Stage 1,Playoffs,Grand Final,Team Vitality vs Team Heretics,Lotus,6,Team Vitality,Elimination,Win
VCT 2026: EMEA Stage 1,Playoffs,Grand Final,Team Vitality vs Team Heretics,Lotus,6,Team Heretics,Eliminated,Loss
VCT 2026: EMEA Stage 1,Playoffs,Grand Final,Team Vitality vs Team Heretics,Lotus,7,Team Vitality,Elimination,Win
VCT 2026: EMEA Stage 1,Playoffs,Grand Final,Team Vitality vs Team Heretics,Lotus,7,Team Heretics,Eliminated,Loss
VCT 2026: EMEA Stage 1,Playoffs,Grand Final,Team Vitality vs Team Heretics,Lotus,8,Team Heretics,Elimination,Win
VCT 2026: EMEA Stage 1,Playoffs,Grand Final,Team Vitality vs Team Heretics,Lotus,8,Team Vitality,Eliminated,Loss
VCT 2026: EMEA Stage 1,Playoffs,Grand Final,Team Vitality vs Team Heretics,Lotus,9,Team Vitality,Elimination,Win
VCT 2026: EMEA Stage 1,Playoffs,Grand Final,Team Vitality vs Team Heretics,Lotus,9,Team Heretics,Eliminated,Loss
VCT 2026: EMEA Stage 1,Playoffs,Grand Final,Team Vitality vs Team Heretics,Lotus,10,Team Heretics,Time Expiry (No Plant),Win
VCT 2026: EMEA Stage 1,Playoffs,Grand Final,Team Vitality vs Team Heretics,Lotus,10,Team Vitality,Time Expiry (Failed to Plant),Loss
VCT 2026: EMEA Stage 1,Playoffs,Grand Final,Team Vitality vs Team Heretics,Lotus,11,Team Heretics,Defused,Win
VCT 2026: EMEA Stage 1,Playoffs,Grand Final,Team Vitality vs Team Heretics,Lotus,11,Team Vitality,Detonated Denied,Loss
VCT 2026: EMEA Stage 1,Playoffs,Grand Final,Team Vitality vs Team Heretics,Lotus,12,Team Heretics,Elimination,Win
VCT 2026: EMEA Stage 1,Playoffs,Grand Final,Team Vitality vs Team Heretics,Lotus,12,Team Vitality,Eliminated,Loss
VCT 2026: EMEA Stage 1,Playoffs,Grand Final,Team Vitality vs Team Heretics,Lotus,13,Team Vitality,Elimination,Win
VCT 2026: EMEA Stage 1,Playoffs,Grand Final,Team Vitality vs Team Heretics,Lotus,13,Team Heretics,Eliminated,Loss
VCT 2026: EMEA Stage 1,Playoffs,Grand Final,Team Vitality vs Team Heretics,Lotus,14,Team Heretics,Elimination,Win
VCT 2026: EMEA Stage 1,Playoffs,Grand Final,Team Vitality vs Team Heretics,Lotus,14,Team Vitality,Eliminated,Loss
VCT 2026: EMEA Stage 1,Playoffs,Grand Final,Team Vitality vs Team Heretics,Lotus,15,Team Heretics,Detonated,Win
VCT 2026: EMEA Stage 1,Playoffs,Grand Final,Team Vitality vs Team Heretics,Lotus,15,Team Vitality,Failed Defused,Loss
VCT 2026: EMEA Stage 1,Playoffs,Grand Final,Team Vitality vs Team Heretics,Lotus,16,Team Vitality,Elimination,Win
VCT 2026: EMEA Stage 1,Playoffs,Grand Final,Team Vitality vs Team Heretics,Lotus,16,Team Heretics,Eliminated,Loss
VCT 2026: EMEA Stage 1,Playoffs,Grand Final,Team Vitality vs Team Heretics,Lotus,17,Team Vitality,Defused,Win
VCT 2026: EMEA Stage 1,Playoffs,Grand Final,Team Vitality vs Team Heretics,Lotus,17,Team Heretics,Detonated Denied,Loss
VCT 2026: EMEA Stage 1,Playoffs,Grand Final,Team Vitality vs Team Heretics,Lotus,18,Team Heretics,Elimination,Win
VCT 2026: EMEA Stage 1,Playoffs,Grand Final,Team Vitality vs Team Heretics,Lotus,18,Team Vitality,Eliminated,Loss
VCT 2026: EMEA Stage 1,Playoffs,Grand Final,Team Vitality vs Team Heretics,Lotus,19,Team Vitality,Elimination,Win
VCT 2026: EMEA Stage 1,Playoffs,Grand Final,Team Vitality vs Team Heretics,Lotus,19,Team Heretics,Eliminated,Loss
VCT 2026: EMEA Stage 1,Playoffs,Grand Final,Team Vitality vs Team Heretics,Lotus,20,Team Vitality,Elimination,Win
VCT 2026: EMEA Stage 1,Playoffs,Grand Final,Team Vitality vs Team Heretics,Lotus,20,Team Heretics,Eliminated,Loss
VCT 2026: EMEA Stage 1,Playoffs,Grand Final,Team Vitality vs Team Heretics,Lotus,21,Team Vitality,Defused,Win
VCT 2026: EMEA Stage 1,Playoffs,Grand Final,Team Vitality vs Team Heretics,Lotus,21,Team Heretics,Detonated Denied,Loss
VCT 2026: EMEA Stage 1,Playoffs,Grand Final,Team Vitality vs Team Heretics,Lotus,22,Team Heretics,Elimination,Win
VCT 2026: EMEA Stage 1,Playoffs,Grand Final,Team Vitality vs Team Heretics,Lotus,22,Team Vitality,Eliminated,Loss
VCT 2026: EMEA Stage 1,Playoffs,Grand Final,Team Vitality vs Team Heretics,Lotus,23,Team Vitality,Defused,Win
VCT 2026: EMEA Stage 1,Playoffs,Grand Final,Team Vitality vs Team Heretics,Lotus,23,Team Heretics,Detonated Denied,Loss
VCT 2026: EMEA Stage 1,Playoffs,Grand Final,Team Vitality vs Team Heretics,Lotus,24,Team Heretics,Elimination,Win
VCT 2026: EMEA Stage 1,Playoffs,Grand Final,Team Vitality vs Team Heretics,Lotus,24,Team Vitality,Eliminated,Loss
VCT 2026: EMEA Stage 1,Playoffs,Grand Final,Team Vitality vs Team Heretics,Lotus,25,Team Heretics,Defused,Win
VCT 2026: EMEA Stage 1,Playoffs,Grand Final,Team Vitality vs Team Heretics,Lotus,25,Team Vitality,Detonated Denied,Loss
VCT 2026: EMEA Stage 1,Playoffs,Grand Final,Team Vitality vs Team Heretics,Lotus,26,Team Vitality,Defused,Win
VCT 2026: EMEA Stage 1,Playoffs,Grand Final,Team Vitality vs Team Heretics,Lotus,26,Team Heretics,Detonated Denied,Loss
VCT 2026: EMEA Stage 1,Playoffs,Grand Final,Team Vitality vs Team Heretics,Lotus,27,Team Heretics,Time Expiry (No Plant),Win
