Tournament,Stage,Match Type,Match Name,Map,Round Number,Team,Method,Outcome
VCT 2026: Americas Stage 1,Group Stage,Week 1,Sentinels vs KRÜ Esports,Lotus,21,Sentinels,Eliminated,Loss
VCT 2026: Americas Stage 1,Group Stage,Week 1,Sentinels vs KRÜ Esports,Breeze,1,KRÜ Esports,Defused,Win
VCT 2026: Americas Stage 1,Group Stage,Week 1,Sentinels vs KRÜ Esports,Breeze,1,Sentinels,Detonated Denied,Loss
VCT 2026: Americas Stage 1,Group Stage,Week 1,Sentinels vs KRÜ Esports,Breeze,2,KRÜ Esports,Defused,Win
VCT 2026: Americas Stage 1,Group Stage,Week 1,Sentinels vs KRÜ Esports,Breeze,2,Sentinels,Detonated Denied,Loss
VCT 2026: Americas Stage 1,Group Stage,Week 1,Sentinels vs KRÜ Esports,Breeze,3,KRÜ Esports,Defused,Win
VCT 2026: Americas Stage 1,Group Stage,Week 1,Sentinels vs KRÜ Esports,Breeze,3,Sentinels,Detonated Denied,Loss
VCT 2026: Americas Stage 1,Group Stage,Week 1,Sentinels vs KRÜ Esports,Breeze,4,Sentinels,Elimination,Win
VCT 2026: Americas Stage 1,Group Stage,Week 1,Sentinels vs KRÜ Esports,Breeze,4,KRÜ Esports,Eliminated,Loss
VCT 2026: Americas Stage 1,Group Stage,Week 1,Sentinels vs KRÜ Esports,Breeze,5,Sentinels,Elimination,Win
VCT 2026: Americas Stage 1,Group Stage,Week 1,Sentinels vs KRÜ Esports,Breeze,5,KRÜ Esports,Eliminated,Loss
VCT 2026: Americas Stage 1,Group Stage,Week 1,Sentinels vs KRÜ Esports,Breeze,6,Sentinels,Detonated,Win
VCT 2026: Americas Stage 1,Group Stage,Week 1,Sentinels vs KRÜ Esports,Breeze,6,KRÜ Esports,Failed Defused,Loss
VCT 2026: Americas Stage 1,Group Stage,Week 1,Sentinels vs KRÜ Esports,Breeze,7,Sentinels,Detonated,Win
VCT 2026: Americas Stage 1,Group Stage,Week 1,Sentinels vs KRÜ Esports,Breeze,7,KRÜ Esports,Failed Defused,Loss
VCT 2026: Americas Stage 1,Group Stage,Week 1,Sentinels vs KRÜ Esports,Breeze,8,Sentinels,Elimination,Win
VCT 2026: Americas Stage 1,Group Stage,Week 1,Sentinels vs KRÜ Esports,Breeze,8,KRÜ Esports,Eliminated,Loss
VCT 2026: Americas Stage 1,Group Stage,Week 1,Sentinels vs KRÜ Esports,Breeze,9,KRÜ Esports,Defused,Win
VCT 2026: Americas Stage 1,Group Stage,Week 1,Sentinels vs KRÜ Esports,Breeze,9,Sentinels,Detonated Denied,Loss
VCT 2026: Americas Stage 1,Group Stage,Week 1,Sentinels vs KRÜ Esports,Breeze,10,KRÜ Esports,Elimination,Win
VCT 2026: Americas Stage 1,Group Stage,Week 1,Sentinels vs KRÜ Esports,Breeze,10,Sentinels,Eliminated,Loss
VCT 2026: Americas Stage 1,Group Stage,Week 1,Sentinels vs KRÜ Esports,Breeze,11,KRÜ Esports,Elimination,Win
VCT 2026: Americas Stage 1,Group Stage,Week 1,Sentinels vs KRÜ Esports,Breeze,11,Sentinels,Eliminated,Loss
VCT 2026: Americas Stage 1,Group Stage,Week 1,Sentinels vs KRÜ Esports,Breeze,12,KRÜ Esports,Elimination,Win
VCT 2026: Americas Stage 1,Group Stage,Week 1,Sentinels vs KRÜ Esports,Breeze,12,Sentinels,Eliminated,Loss
VCT 2026: Americas Stage 1,Group Stage,Week 1,Sentinels vs KRÜ Esports,Breeze,13,KRÜ Esports,Elimination,Win
VCT 2026: Americas Stage 1,Group Stage,Week 1,Sentinels vs KRÜ Esports,Breeze,13,Sentinels,Eliminated,Loss
VCT 2026: Americas Stage 1,Group Stage,Week 1,Sentinels vs KRÜ Esports,Breeze,14,KRÜ Esports,Elimination,Win
VCT 2026: Americas Stage 1,Group Stage,Week 1,Sentinels vs KRÜ Esports,Breeze,14,Sentinels,Eliminated,Loss
VCT 2026: Americas Stage 1,Group Stage,Week 1,Sentinels vs KRÜ Esports,Breeze,15,Sentinels,Elimination,Win
VCT 2026: Americas Stage 1,Group Stage,Week 1,Sentinels vs KRÜ Esports,Breeze,15,KRÜ Esports,Eliminated,Loss
VCT 2026: Americas Stage 1,Group Stage,Week 1,Sentinels vs KRÜ Esports,Breeze,16,KRÜ Esports,Elimination,Win
VCT 2026: Americas Stage 1,Group Stage,Week 1,Sentinels vs KRÜ Esports,Breeze,16,Sentinels,Eliminated,Loss
VCT 2026: Americas Stage 1,Group Stage,Week 1,Sentinels vs KRÜ Esports,Breeze,17,Sentinels,Defused,Win
