Tournament,Stage,Match Type,Map,Total Maps Played,Attacker Side Win Percentage,Defender Side Win Percentage
VCT 2026: Americas Stage 1,Playoffs,Upper Round 1,All Maps,5,44%,56%
VCT 2026: Americas Stage 1,Playoffs,Upper Round 1,Pearl,2,39%,61%
VCT 2026: Americas Stage 1,Playoffs,Upper Round 1,Lotus,1,45%,55%
VCT 2026: Americas Stage 1,Playoffs,Upper Round 1,Breeze,1,48%,52%
VCT 2026: Americas Stage 1,Playoffs,Upper Round 1,Split,1,50%,50%
VCT 2026: Americas Stage 1,Playoffs,Upper Semifinals,All Maps,5,59%,41%
VCT 2026: Americas Stage 1,Playoffs,Upper Semifinals,Ascent,1,55%,45%
VCT 2026: Americas Stage 1,Playoffs,Upper Semifinals,Breeze,1,65%,35%
VCT 2026: Americas Stage 1,Playoffs,Upper Semifinals,Fracture,1,47%,53%
VCT 2026: Americas Stage 1,Playoffs,Upper Semifinals,Lotus,1,63%,38%
VCT 2026: Americas Stage 1,Playoffs,Upper Semifinals,Split,1,61%,39%
VCT 2026: Americas Stage 1,Playoffs,Upper Final,All Maps,3,58%,42%
VCT 2026: Americas Stage 1,Playoffs,Upper Final,Ascent,1,65%,35%
VCT 2026: Americas Stage 1,Playoffs,Upper Final,Pearl,1,68%,32%
VCT 2026: Americas Stage 1,Playoffs,Upper Final,Split,1,39%,61%
VCT 2026: Americas Stage 1,Playoffs,Grand Final,All Maps,5,43%,57%
VCT 2026: Americas Stage 1,Playoffs,Grand Final,Ascent,1,50%,50%
VCT 2026: Americas Stage 1,Playoffs,Grand Final,Fracture,1,50%,50%
VCT 2026: Americas Stage 1,Playoffs,Grand Final,Haven,1,46%,54%
VCT 2026: Americas Stage 1,Playoffs,Grand Final,Pearl,1,30%,70%
VCT 2026: Americas Stage 1,Playoffs,Grand Final,Split,1,38%,63%
VCT 2026: Americas Stage 1,Playoffs,Lower Round 1,All Maps,4,51%,49%
VCT 2026: Americas Stage 1,Playoffs,Lower Round 1,Haven,1,38%,62%
VCT 2026: Americas Stage 1,Playoffs,Lower Round 1,Breeze,1,61%,39%
VCT 2026: Americas Stage 1,Playoffs,Lower Round 1,Lotus,1,53%,47%
VCT 2026: Americas Stage 1,Playoffs,Lower Round 1,Split,1,53%,47%
VCT 2026: Americas Stage 1,Playoffs,Lower Round 2,All Maps,4,46%,54%
VCT 2026: Americas Stage 1,Playoffs,Lower Round 2,Breeze,2,54%,46%
VCT 2026: Americas Stage 1,Playoffs,Lower Round 2,Fracture,1,54%,46%
VCT 2026: Americas Stage 1,Playoffs,Lower Round 2,Haven,1,18%,82%
VCT 2026: Americas Stage 1,Playoffs,Lower Round 3,All Maps,2,48%,52%
VCT 2026: Americas Stage 1,Playoffs,Lower Round 3,Breeze,1,54%,46%
VCT 2026: Americas Stage 1,Playoffs,Lower Round 3,Fracture,1,41%,59%
VCT 2026: Americas Stage 1,Playoffs,Lower Final,All Maps,5,49%,51%
VCT 2026: Americas Stage 1,Playoffs,Lower Final,Ascent,1,35%,65%
VCT 2026: Americas Stage 1,Playoffs,Lower Final,Breeze,1,68%,32%
VCT 2026: Americas Stage 1,Playoffs,Lower Final,Haven,1,43%,57%
VCT 2026: Americas Stage 1,Playoffs,Lower Final,Lotus,1,57%,43%
VCT 2026: Americas Stage 1,Playoffs,Lower Final,Pearl,1,45%,55%
VCT 2026: Americas Stage 1,Group Stage,Week 1,All Maps,13,48%,52%
VCT 2026: Americas Stage 1,Group Stage,Week 1,Lotus,3,45%,55%
VCT 2026: Americas Stage 1,Group Stage,Week 1,Breeze,3,55%,45%
VCT 2026: Americas Stage 1,Group Stage,Week 1,Pearl,3,54%,46%
VCT 2026: Americas Stage 1,Group Stage,Week 1,Haven,2,44%,56%
VCT 2026: Americas Stage 1,Group Stage,Week 1,Split,2,40%,60%
VCT 2026: Americas Stage 1,Group Stage,Week 2,All Maps,15,50%,50%
VCT 2026: Americas Stage 1,Group Stage,Week 2,Split,5,50%,50%
VCT 2026: Americas Stage 1,Group Stage,Week 2,Haven,4,48%,52%
VCT 2026: Americas Stage 1,Group Stage,Week 2,Lotus,2,46%,54%
VCT 2026: Americas Stage 1,Group Stage,Week 2,Pearl,2,56%,44%
VCT 2026: Americas Stage 1,Group Stage,Week 2,Bind,1,50%,50%
VCT 2026: Americas Stage 1,Group Stage,Week 2,Breeze,1,58%,42%
VCT 2026: Americas Stage 1,Group Stage,Week 3,All Maps,13,53%,47%
VCT 2026: Americas Stage 1,Group Stage,Week 3,Haven,3,46%,54%
VCT 2026: Americas Stage 1,Group Stage,Week 3,Bind,2,56%,44%
VCT 2026: Americas Stage 1,Group Stage,Week 3,Breeze,2,62%,38%
VCT 2026: Americas Stage 1,Group Stage,Week 3,Lotus,2,48%,53%
VCT 2026: Americas Stage 1,Group Stage,Week 3,Pearl,2,58%,42%
VCT 2026: Americas Stage 1,Group Stage,Week 3,Fracture,1,59%,41%
VCT 2026: Americas Stage 1,Group Stage,Week 3,Split,1,50%,50%
VCT 2026: Americas Stage 1,Group Stage,Week 4,All Maps,15,57%,43%
VCT 2026: Americas Stage 1,Group Stage,Week 4,Haven,4,46%,54%
VCT 2026: Americas Stage 1,Group Stage,Week 4,Breeze,3,61%,39%
VCT 2026: Americas Stage 1,Group Stage,Week 4,Split,3,58%,42%
VCT 2026: Americas Stage 1,Group Stage,Week 4,Lotus,2,67%,33%
VCT 2026: Americas Stage 1,Group Stage,Week 4,Bind,1,71%,29%
VCT 2026: Americas Stage 1,Group Stage,Week 4,Fracture,1,67%,33%
VCT 2026: Americas Stage 1,Group Stage,Week 4,Pearl,1,50%,50%
VCT 2026: Americas Stage 1,Group Stage,Week 5,All Maps,16,56%,44%
VCT 2026: Americas Stage 1,Group Stage,Week 5,Haven,4,65%,35%
VCT 2026: Americas Stage 1,Group Stage,Week 5,Bind,3,49%,51%
VCT 2026: Americas Stage 1,Group Stage,Week 5,Breeze,3,49%,51%
VCT 2026: Americas Stage 1,Group Stage,Week 5,Lotus,3,52%,48%
VCT 2026: Americas Stage 1,Group Stage,Week 5,Fracture,1,71%,29%
VCT 2026: Americas Stage 1,Group Stage,Week 5,Pearl,1,68%,32%
VCT 2026: Americas Stage 1,Group Stage,Week 5,Split,1,41%,59%
VCT 2026: Americas Stage 1,All Stages,All Match Types,All Maps,105,52%,48%
VCT 2026: Americas Stage 1,All Stages,All Match Types,Haven,21,48%,52%
VCT 2026: Americas Stage 1,All Stages,All Match Types,Breeze,19,57%,43%
VCT 2026: Americas Stage 1,All Stages,All Match Types,Split,17,49%,51%
VCT 2026: Americas Stage 1,All Stages,All Match Types,Lotus,16,51%,49%
VCT 2026: Americas Stage 1,All Stages,All Match Types,Pearl,14,52%,48%
VCT 2026: Americas Stage 1,All Stages,All Match Types,Bind,7,54%,46%
VCT 2026: Americas Stage 1,All Stages,All Match Types,Fracture,7,56%,44%
VCT 2026: Americas Stage 1,All Stages,All Match Types,Ascent,4,51%,49%
VCT 2026: EMEA Stage 1,Playoffs,Upper Round 1,All Maps,6,50%,50%
VCT 2026: EMEA Stage 1,Playoffs,Upper Round 1,Lotus,2,56%,44%
VCT 2026: EMEA Stage 1,Playoffs,Upper Round 1,Pearl,2,38%,62%
VCT 2026: EMEA Stage 1,Playoffs,Upper Round 1,Ascent,1,63%,38%
VCT 2026: EMEA Stage 1,Playoffs,Upper Round 1,Fracture,1,45%,55%
VCT 2026: EMEA Stage 1,Playoffs,Upper Semifinals,All Maps,5,51%,49%
VCT 2026: EMEA Stage 1,Playoffs,Upper Semifinals,Ascent,1,59%,41%
VCT 2026: EMEA Stage 1,Playoffs,Upper Semifinals,Breeze,1,41%,59%
VCT 2026: EMEA Stage 1,Playoffs,Upper Semifinals,Haven,1,75%,25%
VCT 2026: EMEA Stage 1,Playoffs,Upper Semifinals,Pearl,1,50%,50%
VCT 2026: EMEA Stage 1,Playoffs,Upper Semifinals,Split,1,29%,71%
VCT 2026: EMEA Stage 1,Playoffs,Upper Final,All Maps,3,52%,48%
VCT 2026: EMEA Stage 1,Playoffs,Upper Final,Ascent,1,38%,62%
VCT 2026: EMEA Stage 1,Playoffs,Upper Final,Pearl,1,42%,58%
VCT 2026: EMEA Stage 1,Playoffs,Upper Final,Split,1,75%,25%
VCT 2026: EMEA Stage 1,Playoffs,Grand Final,All Maps,5,50%,50%
VCT 2026: EMEA Stage 1,Playoffs,Grand Final,Haven,1,58%,42%
VCT 2026: EMEA Stage 1,Playoffs,Grand Final,Breeze,1,65%,35%
VCT 2026: EMEA Stage 1,Playoffs,Grand Final,Lotus,1,42%,58%
VCT 2026: EMEA Stage 1,Playoffs,Grand Final,Pearl,1,25%,75%
VCT 2026: EMEA Stage 1,Playoffs,Grand Final,Split,1,54%,46%
VCT 2026: EMEA Stage 1,Playoffs,Lower Round 1,All Maps,5,38%,63%
VCT 2026: EMEA Stage 1,Playoffs,Lower Round 1,Ascent,2,40%,60%
VCT 2026: EMEA Stage 1,Playoffs,Lower Round 1,Breeze,1,53%,47%
VCT 2026: EMEA Stage 1,Playoffs,Lower Round 1,Fracture,1,7%,93%
VCT 2026: EMEA Stage 1,Playoffs,Lower Round 1,Split,1,41%,59%
VCT 2026: EMEA Stage 1,Playoffs,Lower Round 2,All Maps,5,51%,49%
VCT 2026: EMEA Stage 1,Playoffs,Lower Round 2,Lotus,2,62%,38%
VCT 2026: EMEA Stage 1,Playoffs,Lower Round 2,Ascent,2,45%,55%
VCT 2026: EMEA Stage 1,Playoffs,Lower Round 2,Fracture,1,43%,57%
VCT 2026: EMEA Stage 1,Playoffs,Lower Round 3,All Maps,3,71%,29%
VCT 2026: EMEA Stage 1,Playoffs,Lower Round 3,Ascent,1,70%,30%
VCT 2026: EMEA Stage 1,Playoffs,Lower Round 3,Fracture,1,83%,17%
VCT 2026: EMEA Stage 1,Playoffs,Lower Round 3,Lotus,1,63%,38%
VCT 2026: EMEA Stage 1,Playoffs,Lower Final,All Maps,4,47%,53%
VCT 2026: EMEA Stage 1,Playoffs,Lower Final,Ascent,1,47%,53%
VCT 2026: EMEA Stage 1,Playoffs,Lower Final,Breeze,1,79%,21%
VCT 2026: EMEA Stage 1,Playoffs,Lower Final,Haven,1,33%,67%
VCT 2026: EMEA Stage 1,Playoffs,Lower Final,Lotus,1,41%,59%
VCT 2026: EMEA Stage 1,Group Stage,Week 1,All Maps,15,51%,49%
VCT 2026: EMEA Stage 1,Group Stage,Week 1,Pearl,4,53%,47%
VCT 2026: EMEA Stage 1,Group Stage,Week 1,Haven,3,54%,46%
VCT 2026: EMEA Stage 1,Group Stage,Week 1,Bind,3,48%,52%
VCT 2026: EMEA Stage 1,Group Stage,Week 1,Breeze,2,64%,36%
VCT 2026: EMEA Stage 1,Group Stage,Week 1,Lotus,2,43%,57%
VCT 2026: EMEA Stage 1,Group Stage,Week 1,Split,1,38%,63%
VCT 2026: EMEA Stage 1,Group Stage,Week 2,All Maps,15,43%,57%
VCT 2026: EMEA Stage 1,Group Stage,Week 2,Split,4,37%,63%
VCT 2026: EMEA Stage 1,Group Stage,Week 2,Pearl,4,41%,59%
VCT 2026: EMEA Stage 1,Group Stage,Week 2,Bind,2,44%,56%
VCT 2026: EMEA Stage 1,Group Stage,Week 2,Fracture,2,59%,41%
VCT 2026: EMEA Stage 1,Group Stage,Week 2,Haven,2,42%,58%
VCT 2026: EMEA Stage 1,Group Stage,Week 2,Breeze,1,48%,52%
VCT 2026: EMEA Stage 1,Group Stage,Week 3,All Maps,14,50%,50%
VCT 2026: EMEA Stage 1,Group Stage,Week 3,Lotus,5,53%,47%
VCT 2026: EMEA Stage 1,Group Stage,Week 3,Haven,3,58%,42%
VCT 2026: EMEA Stage 1,Group Stage,Week 3,Split,2,48%,52%
VCT 2026: EMEA Stage 1,Group Stage,Week 3,Bind,1,71%,29%
VCT 2026: EMEA Stage 1,Group Stage,Week 3,Breeze,1,41%,59%
VCT 2026: EMEA Stage 1,Group Stage,Week 3,Fracture,1,35%,65%
VCT 2026: EMEA Stage 1,Group Stage,Week 3,Pearl,1,17%,83%
VCT 2026: EMEA Stage 1,Group Stage,Week 4,All Maps,17,57%,43%
VCT 2026: EMEA Stage 1,Group Stage,Week 4,Lotus,5,55%,45%
VCT 2026: EMEA Stage 1,Group Stage,Week 4,Haven,3,64%,36%
VCT 2026: EMEA Stage 1,Group Stage,Week 4,Bind,3,51%,49%
VCT 2026: EMEA Stage 1,Group Stage,Week 4,Breeze,2,55%,45%
VCT 2026: EMEA Stage 1,Group Stage,Week 4,Fracture,2,63%,37%
VCT 2026: EMEA Stage 1,Group Stage,Week 4,Split,2,59%,41%
VCT 2026: EMEA Stage 1,Group Stage,Week 5,All Maps,12,57%,43%
VCT 2026: EMEA Stage 1,Group Stage,Week 5,Split,4,47%,53%
VCT 2026: EMEA Stage 1,Group Stage,Week 5,Lotus,3,57%,43%
VCT 2026: EMEA Stage 1,Group Stage,Week 5,Haven,2,63%,37%
VCT 2026: EMEA Stage 1,Group Stage,Week 5,Breeze,2,64%,36%
VCT 2026: EMEA Stage 1,Group Stage,Week 5,Fracture,1,61%,39%
VCT 2026: EMEA Stage 1,All Stages,All Match Types,All Maps,109,51%,49%
VCT 2026: EMEA Stage 1,All Stages,All Match Types,Lotus,22,54%,46%
VCT 2026: EMEA Stage 1,All Stages,All Match Types,Split,17,46%,54%
VCT 2026: EMEA Stage 1,All Stages,All Match Types,Haven,16,56%,44%
VCT 2026: EMEA Stage 1,All Stages,All Match Types,Pearl,14,42%,58%
VCT 2026: EMEA Stage 1,All Stages,All Match Types,Breeze,12,58%,42%
VCT 2026: EMEA Stage 1,All Stages,All Match Types,Fracture,10,53%,47%
VCT 2026: EMEA Stage 1,All Stages,All Match Types,Ascent,9,50%,50%
VCT 2026: EMEA Stage 1,All Stages,All Match Types,Bind,9,51%,49%
VCT 2026: China Stage 1,Playoffs,Upper Quarterfinals,All Maps,10,47%,54%
VCT 2026: China Stage 1,Playoffs,Upper Quarterfinals,Lotus,3,46%,54%
VCT 2026: China Stage 1,Playoffs,Upper Quarterfinals,Breeze,2,43%,57%
VCT 2026: China Stage 1,Playoffs,Upper Quarterfinals,Split,2,41%,59%
VCT 2026: China Stage 1,Playoffs,Upper Quarterfinals,Fracture,1,86%,14%
VCT 2026: China Stage 1,Playoffs,Upper Quarterfinals,Haven,1,33%,67%
VCT 2026: China Stage 1,Playoffs,Upper Quarterfinals,Pearl,1,35%,65%
VCT 2026: China Stage 1,Playoffs,Upper Semifinals,All Maps,4,71%,29%
VCT 2026: China Stage 1,Playoffs,Upper Semifinals,Lotus,2,81%,19%
VCT 2026: China Stage 1,Playoffs,Upper Semifinals,Fracture,1,75%,25%
VCT 2026: China Stage 1,Playoffs,Upper Semifinals,Pearl,1,50%,50%
VCT 2026: China Stage 1,Playoffs,Upper Final,All Maps,2,47%,53%
VCT 2026: China Stage 1,Playoffs,Upper Final,Split,1,50%,50%
VCT 2026: China Stage 1,Playoffs,Upper Final,Breeze,1,43%,57%
VCT 2026: China Stage 1,Playoffs,Grand Final,All Maps,5,56%,44%
VCT 2026: China Stage 1,Playoffs,Grand Final,Breeze,1,39%,61%
VCT 2026: China Stage 1,Playoffs,Grand Final,Fracture,1,63%,37%
VCT 2026: China Stage 1,Playoffs,Grand Final,Haven,1,59%,41%
VCT 2026: China Stage 1,Playoffs,Grand Final,Pearl,1,47%,53%
VCT 2026: China Stage 1,Playoffs,Grand Final,Split,1,67%,33%
VCT 2026: China Stage 1,Playoffs,Lower Round 1,All Maps,5,40%,60%
VCT 2026: China Stage 1,Playoffs,Lower Round 1,Ascent,1,25%,75%
VCT 2026: China Stage 1,Playoffs,Lower Round 1,Fracture,1,32%,68%
VCT 2026: China Stage 1,Playoffs,Lower Round 1,Lotus,1,68%,32%
VCT 2026: China Stage 1,Playoffs,Lower Round 1,Pearl,1,48%,52%
VCT 2026: China Stage 1,Playoffs,Lower Round 1,Split,1,29%,71%
VCT 2026: China Stage 1,Playoffs,Lower Round 2,All Maps,5,58%,42%
VCT 2026: China Stage 1,Playoffs,Lower Round 2,Haven,2,69%,31%
VCT 2026: China Stage 1,Playoffs,Lower Round 2,Fracture,1,47%,53%
VCT 2026: China Stage 1,Playoffs,Lower Round 2,Lotus,1,41%,59%
VCT 2026: China Stage 1,Playoffs,Lower Round 2,Split,1,57%,43%
VCT 2026: China Stage 1,Playoffs,Lower Round 3,All Maps,3,54%,46%
VCT 2026: China Stage 1,Playoffs,Lower Round 3,Lotus,1,52%,48%
VCT 2026: China Stage 1,Playoffs,Lower Round 3,Haven,1,53%,47%
VCT 2026: China Stage 1,Playoffs,Lower Round 3,Split,1,57%,43%
VCT 2026: China Stage 1,Playoffs,Lower Final,All Maps,4,52%,48%
VCT 2026: China Stage 1,Playoffs,Lower Final,Haven,1,30%,70%
VCT 2026: China Stage 1,Playoffs,Lower Final,Breeze,1,63%,37%
VCT 2026: China Stage 1,Playoffs,Lower Final,Lotus,1,67%,33%
VCT 2026: China Stage 1,Playoffs,Lower Final,Split,1,54%,46%
VCT 2026: China Stage 1,Group Stage,Week 1,All Maps,28,50%,50%
VCT 2026: China Stage 1,Group Stage,Week 1,Lotus,6,54%,46%
VCT 2026: China Stage 1,Group Stage,Week 1,Bind,5,59%,41%
VCT 2026: China Stage 1,Group Stage,Week 1,Breeze,5,49%,51%
VCT 2026: China Stage 1,Group Stage,Week 1,Fracture,4,38%,62%
VCT 2026: China Stage 1,Group Stage,Week 1,Pearl,3,42%,58%
VCT 2026: China Stage 1,Group Stage,Week 1,Split,3,48%,52%
VCT 2026: China Stage 1,Group Stage,Week 1,Haven,2,51%,49%
VCT 2026: China Stage 1,Group Stage,Week 2,All Maps,30,53%,47%
VCT 2026: China Stage 1,Group Stage,Week 2,Lotus,7,51%,49%
VCT 2026: China Stage 1,Group Stage,Week 2,Haven,5,62%,38%
VCT 2026: China Stage 1,Group Stage,Week 2,Bind,4,43%,57%
VCT 2026: China Stage 1,Group Stage,Week 2,Breeze,4,51%,49%
VCT 2026: China Stage 1,Group Stage,Week 2,Fracture,4,54%,46%
VCT 2026: China Stage 1,Group Stage,Week 2,Pearl,3,62%,38%
VCT 2026: China Stage 1,Group Stage,Week 2,Split,3,48%,52%
VCT 2026: China Stage 1,Group Stage,Week 3,All Maps,15,55%,45%
VCT 2026: China Stage 1,Group Stage,Week 3,Lotus,4,70%,30%
VCT 2026: China Stage 1,Group Stage,Week 3,Bind,3,56%,44%
VCT 2026: China Stage 1,Group Stage,Week 3,Fracture,2,44%,56%
VCT 2026: China Stage 1,Group Stage,Week 3,Haven,2,47%,53%
VCT 2026: China Stage 1,Group Stage,Week 3,Split,2,54%,46%
VCT 2026: China Stage 1,Group Stage,Week 3,Breeze,1,35%,65%
VCT 2026: China Stage 1,Group Stage,Week 3,Pearl,1,56%,44%
VCT 2026: China Stage 1,Group Stage,Seeding,All Maps,11,50%,50%
VCT 2026: China Stage 1,Group Stage,Seeding,Bind,2,40%,60%
VCT 2026: China Stage 1,Group Stage,Seeding,Breeze,2,49%,51%
VCT 2026: China Stage 1,Group Stage,Seeding,Fracture,2,51%,49%
VCT 2026: China Stage 1,Group Stage,Seeding,Haven,2,50%,50%
VCT 2026: China Stage 1,Group Stage,Seeding,Split,2,51%,49%
VCT 2026: China Stage 1,Group Stage,Seeding,Lotus,1,62%,38%
VCT 2026: China Stage 1,All Stages,All Match Types,All Maps,122,52%,48%
VCT 2026: China Stage 1,All Stages,All Match Types,Lotus,27,57%,43%
VCT 2026: China Stage 1,All Stages,All Match Types,Split,18,50%,50%
VCT 2026: China Stage 1,All Stages,All Match Types,Breeze,17,47%,53%
VCT 2026: China Stage 1,All Stages,All Match Types,Fracture,17,51%,49%
VCT 2026: China Stage 1,All Stages,All Match Types,Haven,17,54%,46%
VCT 2026: China Stage 1,All Stages,All Match Types,Bind,14,51%,49%
VCT 2026: China Stage 1,All Stages,All Match Types,Pearl,11,50%,50%
VCT 2026: China Stage 1,All Stages,All Match Types,Ascent,1,25%,75%
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,All Maps,10,55%,45%
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Split,3,56%,44%
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Haven,2,53%,47%
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Abyss,2,53%,47%
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Breeze,1,41%,59%
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Corrode,1,65%,35%
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Pearl,1,63%,37%
Valorant Masters Santiago 2026,Playoffs,Upper Semifinals,All Maps,5,54%,46%
Valorant Masters Santiago 2026,Playoffs,Upper Semifinals,Abyss,1,45%,55%
Valorant Masters Santiago 2026,Playoffs,Upper Semifinals,Bind,1,63%,38%
Valorant Masters Santiago 2026,Playoffs,Upper Semifinals,Corrode,1,75%,25%
Valorant Masters Santiago 2026,Playoffs,Upper Semifinals,Pearl,1,58%,42%
Valorant Masters Santiago 2026,Playoffs,Upper Semifinals,Split,1,33%,67%
Valorant Masters Santiago 2026,Playoffs,Upper Final,All Maps,2,61%,39%
Valorant Masters Santiago 2026,Playoffs,Upper Final,Abyss,1,71%,29%
Valorant Masters Santiago 2026,Playoffs,Upper Final,Bind,1,50%,50%
Valorant Masters Santiago 2026,Playoffs,Grand Final,All Maps,3,33%,67%
Valorant Masters Santiago 2026,Playoffs,Grand Final,Abyss,1,31%,69%
Valorant Masters Santiago 2026,Playoffs,Grand Final,Corrode,1,29%,71%
Valorant Masters Santiago 2026,Playoffs,Grand Final,Split,1,41%,59%
Valorant Masters Santiago 2026,Playoffs,Lower Round 1,All Maps,6,49%,51%
Valorant Masters Santiago 2026,Playoffs,Lower Round 1,Abyss,1,29%,71%
Valorant Masters Santiago 2026,Playoffs,Lower Round 1,Bind,1,81%,19%
Valorant Masters Santiago 2026,Playoffs,Lower Round 1,Breeze,1,48%,52%
Valorant Masters Santiago 2026,Playoffs,Lower Round 1,Haven,1,35%,65%
Valorant Masters Santiago 2026,Playoffs,Lower Round 1,Pearl,1,50%,50%
Valorant Masters Santiago 2026,Playoffs,Lower Round 1,Split,1,53%,47%
Valorant Masters Santiago 2026,Playoffs,Lower Round 2,All Maps,5,57%,43%
Valorant Masters Santiago 2026,Playoffs,Lower Round 2,Breeze,1,38%,62%
Valorant Masters Santiago 2026,Playoffs,Lower Round 2,Corrode,1,70%,30%
Valorant Masters Santiago 2026,Playoffs,Lower Round 2,Haven,1,83%,17%
Valorant Masters Santiago 2026,Playoffs,Lower Round 2,Pearl,1,35%,65%
Valorant Masters Santiago 2026,Playoffs,Lower Round 2,Split,1,59%,41%
Valorant Masters Santiago 2026,Playoffs,Lower Round 3,All Maps,3,40%,60%
Valorant Masters Santiago 2026,Playoffs,Lower Round 3,Breeze,1,41%,59%
Valorant Masters Santiago 2026,Playoffs,Lower Round 3,Corrode,1,29%,71%
Valorant Masters Santiago 2026,Playoffs,Lower Round 3,Haven,1,46%,54%
Valorant Masters Santiago 2026,Playoffs,Lower Final,All Maps,4,52%,48%
Valorant Masters Santiago 2026,Playoffs,Lower Final,Breeze,1,68%,32%
Valorant Masters Santiago 2026,Playoffs,Lower Final,Corrode,1,58%,42%
Valorant Masters Santiago 2026,Playoffs,Lower Final,Pearl,1,38%,62%
Valorant Masters Santiago 2026,Playoffs,Lower Final,Split,1,45%,55%
Valorant Masters Santiago 2026,Swiss Stage,Round 1,All Maps,8,52%,48%
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Split,2,41%,59%
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Haven,2,64%,36%
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Abyss,1,70%,30%
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Breeze,1,43%,57%
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Corrode,1,61%,39%
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Pearl,1,35%,65%
Valorant Masters Santiago 2026,Swiss Stage,Round 2 (1-0),All Maps,5,58%,42%
Valorant Masters Santiago 2026,Swiss Stage,Round 2 (1-0),Pearl,2,53%,47%
Valorant Masters Santiago 2026,Swiss Stage,Round 2 (1-0),Haven,1,63%,38%
Valorant Masters Santiago 2026,Swiss Stage,Round 2 (1-0),Bind,1,69%,31%
Valorant Masters Santiago 2026,Swiss Stage,Round 2 (1-0),Split,1,57%,43%
Valorant Masters Santiago 2026,Swiss Stage,Round 2 (0-1),All Maps,4,47%,53%
Valorant Masters Santiago 2026,Swiss Stage,Round 2 (0-1),Haven,2,41%,59%
Valorant Masters Santiago 2026,Swiss Stage,Round 2 (0-1),Abyss,1,38%,62%
Valorant Masters Santiago 2026,Swiss Stage,Round 2 (0-1),Bind,1,79%,21%
Valorant Masters Santiago 2026,Swiss Stage,Round 3,All Maps,4,62%,38%
Valorant Masters Santiago 2026,Swiss Stage,Round 3,Breeze,2,53%,47%
Valorant Masters Santiago 2026,Swiss Stage,Round 3,Abyss,1,53%,47%
Valorant Masters Santiago 2026,Swiss Stage,Round 3,Haven,1,83%,17%
Valorant Masters Santiago 2026,All Stages,All Match Types,All Maps,59,53%,47%
Valorant Masters Santiago 2026,All Stages,All Match Types,Split,11,48%,52%
Valorant Masters Santiago 2026,All Stages,All Match Types,Haven,11,57%,43%
Valorant Masters Santiago 2026,All Stages,All Match Types,Abyss,9,50%,50%
Valorant Masters Santiago 2026,All Stages,All Match Types,Breeze,8,49%,51%
Valorant Masters Santiago 2026,All Stages,All Match Types,Pearl,8,49%,51%
Valorant Masters Santiago 2026,All Stages,All Match Types,Corrode,7,56%,44%
Valorant Masters Santiago 2026,All Stages,All Match Types,Bind,5,67%,33%
VCT 2026: Pacific Stage 1,Playoffs,Upper Round 1,All Maps,4,63%,37%
VCT 2026: Pacific Stage 1,Playoffs,Upper Round 1,Breeze,1,63%,38%
VCT 2026: Pacific Stage 1,Playoffs,Upper Round 1,Fracture,1,65%,35%
VCT 2026: Pacific Stage 1,Playoffs,Upper Round 1,Lotus,1,68%,32%
VCT 2026: Pacific Stage 1,Playoffs,Upper Round 1,Pearl,1,57%,43%
VCT 2026: Pacific Stage 1,Playoffs,Upper Semifinals,All Maps,5,43%,57%
VCT 2026: Pacific Stage 1,Playoffs,Upper Semifinals,Lotus,2,48%,53%
VCT 2026: Pacific Stage 1,Playoffs,Upper Semifinals,Pearl,2,40%,60%
VCT 2026: Pacific Stage 1,Playoffs,Upper Semifinals,Breeze,1,41%,59%
VCT 2026: Pacific Stage 1,Playoffs,Upper Final,All Maps,2,60%,40%
VCT 2026: Pacific Stage 1,Playoffs,Upper Final,Split,1,46%,54%
VCT 2026: Pacific Stage 1,Playoffs,Upper Final,Breeze,1,76%,24%
VCT 2026: Pacific Stage 1,Playoffs,Grand Final,All Maps,3,60%,40%
VCT 2026: Pacific Stage 1,Playoffs,Grand Final,Lotus,1,59%,41%
VCT 2026: Pacific Stage 1,Playoffs,Grand Final,Fracture,1,57%,43%
VCT 2026: Pacific Stage 1,Playoffs,Grand Final,Pearl,1,65%,35%
VCT 2026: Pacific Stage 1,Playoffs,Lower Round 1,All Maps,6,55%,45%
VCT 2026: Pacific Stage 1,Playoffs,Lower Round 1,Ascent,1,59%,41%
VCT 2026: Pacific Stage 1,Playoffs,Lower Round 1,Breeze,1,46%,54%
VCT 2026: Pacific Stage 1,Playoffs,Lower Round 1,Haven,1,77%,23%
VCT 2026: Pacific Stage 1,Playoffs,Lower Round 1,Lotus,1,62%,38%
VCT 2026: Pacific Stage 1,Playoffs,Lower Round 1,Pearl,1,38%,63%
VCT 2026: Pacific Stage 1,Playoffs,Lower Round 1,Split,1,53%,47%
