Tournament,Tournament ID,Stage,Stage ID,Match Type,Match Name,Match ID,Map,Game ID
VCT 2026: Americas Stage 1,2860,Group Stage,5556,Week 4,KRÜ Esports vs 100 Thieves,645494,Split,258637
VCT 2026: Americas Stage 1,2860,Group Stage,5556,Week 4,FURIA vs Sentinels,645495,Split,258638
VCT 2026: Americas Stage 1,2860,Group Stage,5556,Week 4,FURIA vs Sentinels,645495,Breeze,258639
VCT 2026: Americas Stage 1,2860,Group Stage,5556,Week 4,FURIA vs Sentinels,645495,Haven,258640
VCT 2026: Americas Stage 1,2860,Group Stage,5556,Week 4,LOUD vs Cloud9,645496,Lotus,258641
VCT 2026: Americas Stage 1,2860,Group Stage,5556,Week 4,LOUD vs Cloud9,645496,Split,258642
VCT 2026: Americas Stage 1,2860,Group Stage,5556,Week 4,LOUD vs Cloud9,645496,Breeze,258643
VCT 2026: Americas Stage 1,2860,Group Stage,5556,Week 4,G2 Esports vs ENVY,645497,Haven,258644
VCT 2026: Americas Stage 1,2860,Group Stage,5556,Week 4,G2 Esports vs ENVY,645497,Lotus,258645
VCT 2026: Americas Stage 1,2860,Group Stage,5556,Week 5,KRÜ Esports vs Evil Geniuses,645498,Haven,258647
VCT 2026: Americas Stage 1,2860,Group Stage,5556,Week 5,KRÜ Esports vs Evil Geniuses,645498,Lotus,258648
VCT 2026: Americas Stage 1,2860,Group Stage,5556,Week 5,KRÜ Esports vs Evil Geniuses,645498,Bind,258649
VCT 2026: Americas Stage 1,2860,Group Stage,5556,Week 5,FURIA vs 100 Thieves,645499,Pearl,258650
VCT 2026: Americas Stage 1,2860,Group Stage,5556,Week 5,FURIA vs 100 Thieves,645499,Haven,258651
VCT 2026: Americas Stage 1,2860,Group Stage,5556,Week 5,FURIA vs 100 Thieves,645499,Breeze,258652
VCT 2026: Americas Stage 1,2860,Group Stage,5556,Week 5,G2 Esports vs Cloud9,645500,Lotus,258653
VCT 2026: Americas Stage 1,2860,Group Stage,5556,Week 5,G2 Esports vs Cloud9,645500,Split,258654
VCT 2026: Americas Stage 1,2860,Group Stage,5556,Week 5,ENVY vs MIBR,645501,Haven,258656
VCT 2026: Americas Stage 1,2860,Group Stage,5556,Week 5,ENVY vs MIBR,645501,Bind,258657
VCT 2026: Americas Stage 1,2860,Group Stage,5556,Week 5,LOUD vs LEVIATÁN,645502,Bind,258659
VCT 2026: Americas Stage 1,2860,Group Stage,5556,Week 5,LOUD vs LEVIATÁN,645502,Breeze,258660
VCT 2026: Americas Stage 1,2860,Group Stage,5556,Week 5,LOUD vs LEVIATÁN,645502,Haven,258661
VCT 2026: Americas Stage 1,2860,Group Stage,5556,Week 5,Sentinels vs NRG,645503,Fracture,258662
VCT 2026: Americas Stage 1,2860,Group Stage,5556,Week 5,Sentinels vs NRG,645503,Breeze,258663
VCT 2026: Americas Stage 1,2860,Group Stage,5556,Week 5,Sentinels vs NRG,645503,Lotus,258664
VCT 2026: Americas Stage 1,2860,Playoffs,5557,Upper Round 1,FURIA vs LEVIATÁN,660369,Breeze,265422
VCT 2026: Americas Stage 1,2860,Playoffs,5557,Upper Round 1,FURIA vs LEVIATÁN,660369,Split,265423
VCT 2026: Americas Stage 1,2860,Playoffs,5557,Upper Round 1,FURIA vs LEVIATÁN,660369,Pearl,265424
VCT 2026: Americas Stage 1,2860,Playoffs,5557,Upper Round 1,G2 Esports vs 100 Thieves,660370,Pearl,265425
VCT 2026: Americas Stage 1,2860,Playoffs,5557,Upper Round 1,G2 Esports vs 100 Thieves,660370,Lotus,265426
VCT 2026: Americas Stage 1,2860,Playoffs,5557,Upper Semifinals,MIBR vs LEVIATÁN,660371,Split,265428
VCT 2026: Americas Stage 1,2860,Playoffs,5557,Upper Semifinals,MIBR vs LEVIATÁN,660371,Fracture,265429
VCT 2026: Americas Stage 1,2860,Playoffs,5557,Upper Semifinals,MIBR vs LEVIATÁN,660371,Ascent,265430
VCT 2026: Americas Stage 1,2860,Playoffs,5557,Upper Semifinals,KRÜ Esports vs G2 Esports,660372,Lotus,265431
VCT 2026: Americas Stage 1,2860,Playoffs,5557,Upper Semifinals,KRÜ Esports vs G2 Esports,660372,Breeze,265432
VCT 2026: Americas Stage 1,2860,Playoffs,5557,Lower Round 1,FURIA vs NRG,660375,Lotus,265442
VCT 2026: Americas Stage 1,2860,Playoffs,5557,Lower Round 1,FURIA vs NRG,660375,Haven,265443
VCT 2026: Americas Stage 1,2860,Playoffs,5557,Lower Round 1,100 Thieves vs LOUD,660376,Breeze,265445
VCT 2026: Americas Stage 1,2860,Playoffs,5557,Lower Round 1,100 Thieves vs LOUD,660376,Split,265446
VCT 2026: Americas Stage 1,2860,Playoffs,5557,Lower Round 2,KRÜ Esports vs NRG,660377,Breeze,265448
VCT 2026: Americas Stage 1,2860,Playoffs,5557,Lower Round 2,KRÜ Esports vs NRG,660377,Haven,265449
